"FIPS","x","y","caves","WNS","tau"
49045,-1432991.24089,459880.999932,64,Inf,261.676259
49047,-1138001.12638,375520.210039,26,Inf,271.6091954
49049,-1318078.00499,402260.155083,31,Inf,274.744186
49051,-1272439.2368,417848.992125,8,Inf,300.3
49053,-1528838.21584,116328.789869,12,Inf,219.4888889
49055,-1284480.44065,193448.288343,1,Inf,249.3958333
49057,-1316484.0338,532379.669383,12,Inf,287.0769231
50001,1808334.777323,949563.01006,12,Inf,263.8
50003,1838628.171939,842654.783068,15,2,259.0833333
50005,1876118.852577,1016478.159619,1,Inf,278.9
50007,1800494.374815,997630.886821,4,Inf,261.0714286
50009,1896752.713278,1050463.533027,0,Inf,289.5
50011,1803613.945896,1043490.196148,2,Inf,263.9166667
50013,1775443.683198,1031902.461217,2,Inf,251
50015,1831425.804682,1020637.403747,2,4,271.0909091
50017,1867608.724407,961956.773311,1,2,276.8
50019,1854807.013525,1053529.795468,2,Inf,280.4
50021,1828297.467203,903464.437819,26,2,264.7647059
50023,1842570.302868,986434.793341,1,3,269.3333333
50025,1869906.02999,845198.374191,1,3,247.6428571
50027,1864579.299088,911068.053964,3,3,263.8
51001,1763585.299939,218905.962322,0,Inf,158.7272727
51003,1508266.75788,197773.25523,0,Inf,204.6
51005,1388087.561405,148829.360155,174,5,231.25
51007,1572193.430235,131127.768036,0,Inf,197.75
51009,1466632.64349,142912.589329,0,Inf,212.5454545
51011,1500178.267606,122829.764999,0,Inf,193.8333333
51013,1611842.407581,315538.520204,0,Inf,198
51015,1455700.376859,204306.483666,115,5,228
51017,1406379.53315,182176.103757,148,3,244.1111111
51019,1438691.587761,104035.333862,0,Inf,209.1875
51021,1303655.204672,60988.698325,64,3,245.75
51023,1410787.929189,127490.388011,142,5,220.8
51025,1594466.395794,69871.15566,0,Inf,191.1
51027,1221183.714365,62897.456883,0,Inf,214.4
51029,1520641.856598,149490.18183,0,Inf,203.0909091
51031,1479294.899519,99735.058799,0,Inf,205.6
51033,1612817.520357,217542.936743,0,Inf,184.7272727
51035,1344865.665733,22350.250381,2,Inf,225.125
51036,1649920.036536,148403.360831,0,Inf,168.25
51037,1520138.769632,85156.591123,0,Inf,205.875
51041,1605291.223753,142317.973491,1,4,185.875
51043,1532796.84525,326209.116587,4,Inf,219.6666667
51045,1376349.040173,112029.74963,29,4,226.1428571
51047,1548944.557679,257595.962627,0,Inf,203.4444444
51049,1546231.442517,147366.901409,0,Inf,204
51051,1196521.618968,43350.132741,0,Inf,195
51053,1608253.528642,108284.428285,0,Inf,191.2222222
51057,1648992.102403,215245.924444,0,Inf,179.1428571
51059,1599202.343967,307508.95523,0,Inf,196.4285714
51061,1557007.112336,287793.390143,0,Inf,199.6153846
51063,1372326.827753,47960.20055,0,Inf,218.7142857
51065,1536448.766819,182499.944533,0,Inf,215.6666667
51067,1412601.482915,61842.140434,0,Inf,214.3333333
51069,1508288.694103,331560.620521,19,5,221.8333333
51071,1336482.659,87086.774974,209,3,229
51073,1694505.614883,164668.749175,0,Inf,178.2
51075,1569420.536378,174567.839427,0,Inf,212.3333333
51077,1303863.754093,7198.629788,0,Inf,237.7777778
51079,1511026.024571,230490.225747,0,Inf,192
51081,1623519.988698,64039.773725,0,Inf,185.8
51083,1501042.53657,53000.774806,0,Inf,210.2631579
51085,1604768.756309,185739.369884,0,Inf,194
51087,1616631.575008,163703.305633,0,Inf,191.5
51089,1420797.844046,29319.808501,0,Inf,212.7777778
51091,1414991.909504,219092.376249,182,4,257.8888889
51093,1689036.448129,105035.40076,0,Inf,164.625
51095,1675807.708168,149997.913602,0,Inf,176.3333333
51097,1659011.832676,190582.68733,0,Inf,185.5
51099,1622127.350583,245364.396456,0,Inf,185.5
51101,1640591.610686,186990.845319,0,Inf,189.6
51103,1693986.995726,199558.08816,0,Inf,173.6666667
51105,1136082.617637,-12350.574647,338,Inf,208.5
51107,1563824.769545,328955.282137,0,Inf,213.7
51109,1559769.866253,201706.117219,0,Inf,206.4444444
51111,1558166.068777,85228.365521,0,Inf,201
51113,1523189.093748,246735.82385,0,Inf,185.4
51115,1711320.449222,170883.428634,0,Inf,174
51117,1553106.8739,53236.793309,0,Inf,196.1428571
51119,1688505.174111,186770.038154,0,Inf,178.3333333
51121,1367129.760648,75445.34912,74,5,224
51125,1485088.748178,166317.346662,0,Inf,218.7777778
51127,1654015.294501,166557.904406,0,Inf,186
51131,1753169.652018,168590.16724,0,Inf,157.5714286
51133,1694635.120291,216902.684133,0,Inf,162.5
51135,1571704.161336,109588.075269,0,Inf,196.7142857
51137,1548704.038061,230448.385222,0,Inf,200.4285714
51139,1502280.343227,264143.819061,62,Inf,197.8571429
51141,1384856.231575,21810.83127,0,Inf,213.1111111
51143,1459765.833935,52861.199968,0,Inf,213.2
51145,1573206.663651,155098.91923,0,Inf,205.25
51147,1535216.9917,113171.64046,0,Inf,198.5714286
51149,1640033.708028,126225.186662,0,Inf,181.2
51153,1585830.205358,288709.741305,0,Inf,194.1428571
51155,1340885.59039,59169.478806,115,5,228.5714286
51157,1528146.312229,276678.486481,0,Inf,210
51159,1666410.0129,218716.9019,0,Inf,170
51161,1392781.561449,90942.131476,81,5,211.2
51163,1436191.710017,162286.459547,139,Inf,230.3
51165,1471355.769595,245466.208064,106,3,210.8666667
