"","d","theta","rho","offsets","logsdcounty","logsdyears","gridlikelihood"
"1574",135,2.5,1,0.01,1,-4,1334.96138148765
"1575",160,2.5,1,0.01,1,-4,1334.96138148765
"1576",10,0.5,0,1.01,1,-4,1339.65280660636
"1577",35,0.5,0,1.01,1,-4,1339.65331008362
"1578",60,0.5,0,1.01,1,-4,1339.65331008549
"1579",85,0.5,0,1.01,1,-4,1339.65331008549
"1580",110,0.5,0,1.01,1,-4,1339.65331008549
"1581",135,0.5,0,1.01,1,-4,1339.65331008549
"1582",160,0.5,0,1.01,1,-4,1339.65331008549
"1583",10,0.75,0,1.01,1,-4,1339.65329812739
"1584",35,0.75,0,1.01,1,-4,1339.65331008549
"1585",60,0.75,0,1.01,1,-4,1339.65331008549
"1586",85,0.75,0,1.01,1,-4,1339.65331008549
"1587",110,0.75,0,1.01,1,-4,1339.65331008549
"1588",135,0.75,0,1.01,1,-4,1339.65331008549
"1589",160,0.75,0,1.01,1,-4,1339.65331008549
"1590",10,1,0,1.01,1,-4,1339.65330982877
"1591",35,1,0,1.01,1,-4,1339.65331008549
"1592",60,1,0,1.01,1,-4,1339.65331008549
"1593",85,1,0,1.01,1,-4,1339.65331008549
"1594",110,1,0,1.01,1,-4,1339.65331008549
"1595",135,1,0,1.01,1,-4,1339.65331008549
"1596",160,1,0,1.01,1,-4,1339.65331008549
"1597",10,1.25,0,1.01,1,-4,1339.65331008026
"1598",35,1.25,0,1.01,1,-4,1339.65331008549
"1599",60,1.25,0,1.01,1,-4,1339.65331008549
"1600",85,1.25,0,1.01,1,-4,1339.65331008549
"1601",110,1.25,0,1.01,1,-4,1339.65331008549
"1602",135,1.25,0,1.01,1,-4,1339.65331008549
"1603",160,1.25,0,1.01,1,-4,1339.65331008549
"1604",10,1.5,0,1.01,1,-4,1339.65331008541
"1605",35,1.5,0,1.01,1,-4,1339.65331008549
"1606",60,1.5,0,1.01,1,-4,1339.65331008549
"1607",85,1.5,0,1.01,1,-4,1339.65331008549
"1608",110,1.5,0,1.01,1,-4,1339.65331008549
"1609",135,1.5,0,1.01,1,-4,1339.65331008549
"1610",160,1.5,0,1.01,1,-4,1339.65331008549
"1611",10,1.75,0,1.01,1,-4,1339.6533100855
"1612",35,1.75,0,1.01,1,-4,1339.65331008549
"1613",60,1.75,0,1.01,1,-4,1339.65331008549
"1614",85,1.75,0,1.01,1,-4,1339.65331008549
"1615",110,1.75,0,1.01,1,-4,1339.65331008549
"1616",135,1.75,0,1.01,1,-4,1339.65331008549
"1617",160,1.75,0,1.01,1,-4,1339.65331008549
"1618",10,2,0,1.01,1,-4,1339.65331008549
"1619",35,2,0,1.01,1,-4,1339.65331008549
"1620",60,2,0,1.01,1,-4,1339.65331008549
"1621",85,2,0,1.01,1,-4,1339.65331008549
"1622",110,2,0,1.01,1,-4,1339.65331008549
"1623",135,2,0,1.01,1,-4,1339.65331008549
"1624",160,2,0,1.01,1,-4,1339.65331008549
"1625",10,2.25,0,1.01,1,-4,1339.65331008549
"1626",35,2.25,0,1.01,1,-4,1339.65331008549
"1627",60,2.25,0,1.01,1,-4,1339.65331008549
"1628",85,2.25,0,1.01,1,-4,1339.65331008549
"1629",110,2.25,0,1.01,1,-4,1339.65331008549
"1630",135,2.25,0,1.01,1,-4,1339.65331008549
"1631",160,2.25,0,1.01,1,-4,1339.65331008549
"1632",10,2.5,0,1.01,1,-4,1339.65331008549
"1633",35,2.5,0,1.01,1,-4,1339.65331008549
"1634",60,2.5,0,1.01,1,-4,1339.65331008549
"1635",85,2.5,0,1.01,1,-4,1339.65331008549
"1636",110,2.5,0,1.01,1,-4,1339.65331008549
"1637",135,2.5,0,1.01,1,-4,1339.65331008549
"1638",160,2.5,0,1.01,1,-4,1339.65331008549
"1639",10,0.5,0.25,1.01,1,-4,1339.52635340608
"1640",35,0.5,0.25,1.01,1,-4,1339.52679710559
"1641",60,0.5,0.25,1.01,1,-4,1339.52679710726
"1642",85,0.5,0.25,1.01,1,-4,1339.52679710726
"1643",110,0.5,0.25,1.01,1,-4,1339.52679710726
"1644",135,0.5,0.25,1.01,1,-4,1339.52679710726
"1645",160,0.5,0.25,1.01,1,-4,1339.52679710726
"1646",10,0.75,0.25,1.01,1,-4,1339.52678656941
"1647",35,0.75,0.25,1.01,1,-4,1339.52679710726
"1648",60,0.75,0.25,1.01,1,-4,1339.52679710726
"1649",85,0.75,0.25,1.01,1,-4,1339.52679710726
"1650",110,0.75,0.25,1.01,1,-4,1339.52679710726
"1651",135,0.75,0.25,1.01,1,-4,1339.52679710726
"1652",160,0.75,0.25,1.01,1,-4,1339.52679710726
"1653",10,1,0.25,1.01,1,-4,1339.52679688101
"1654",35,1,0.25,1.01,1,-4,1339.52679710726
"1655",60,1,0.25,1.01,1,-4,1339.52679710726
"1656",85,1,0.25,1.01,1,-4,1339.52679710726
"1657",110,1,0.25,1.01,1,-4,1339.52679710726
"1658",135,1,0.25,1.01,1,-4,1339.52679710726
"1659",160,1,0.25,1.01,1,-4,1339.52679710726
"1660",10,1.25,0.25,1.01,1,-4,1339.52679710262
"1661",35,1.25,0.25,1.01,1,-4,1339.52679710726
"1662",60,1.25,0.25,1.01,1,-4,1339.52679710726
"1663",85,1.25,0.25,1.01,1,-4,1339.52679710726
"1664",110,1.25,0.25,1.01,1,-4,1339.52679710726
"1665",135,1.25,0.25,1.01,1,-4,1339.52679710726
"1666",160,1.25,0.25,1.01,1,-4,1339.52679710726
"1667",10,1.5,0.25,1.01,1,-4,1339.52679710716
"1668",35,1.5,0.25,1.01,1,-4,1339.52679710726
"1669",60,1.5,0.25,1.01,1,-4,1339.52679710726
"1670",85,1.5,0.25,1.01,1,-4,1339.52679710726
"1671",110,1.5,0.25,1.01,1,-4,1339.52679710726
"1672",135,1.5,0.25,1.01,1,-4,1339.52679710726
"1673",160,1.5,0.25,1.01,1,-4,1339.52679710726
"1674",10,1.75,0.25,1.01,1,-4,1339.52679710726
"1675",35,1.75,0.25,1.01,1,-4,1339.52679710726
"1676",60,1.75,0.25,1.01,1,-4,1339.52679710726
"1677",85,1.75,0.25,1.01,1,-4,1339.52679710726
"1678",110,1.75,0.25,1.01,1,-4,1339.52679710726
"1679",135,1.75,0.25,1.01,1,-4,1339.52679710726
"1680",160,1.75,0.25,1.01,1,-4,1339.52679710726
"1681",10,2,0.25,1.01,1,-4,1339.52679710726
"1682",35,2,0.25,1.01,1,-4,1339.52679710726
"1683",60,2,0.25,1.01,1,-4,1339.52679710726
"1684",85,2,0.25,1.01,1,-4,1339.52679710726
"1685",110,2,0.25,1.01,1,-4,1339.52679710726
"1686",135,2,0.25,1.01,1,-4,1339.52679710726
"1687",160,2,0.25,1.01,1,-4,1339.52679710726
"1688",10,2.25,0.25,1.01,1,-4,1339.52679710726
"1689",35,2.25,0.25,1.01,1,-4,1339.52679710726
"1690",60,2.25,0.25,1.01,1,-4,1339.52679710726
"1691",85,2.25,0.25,1.01,1,-4,1339.52679710726
"1692",110,2.25,0.25,1.01,1,-4,1339.52679710726
"1693",135,2.25,0.25,1.01,1,-4,1339.52679710726
"1694",160,2.25,0.25,1.01,1,-4,1339.52679710726
"1695",10,2.5,0.25,1.01,1,-4,1339.52679710726
"1696",35,2.5,0.25,1.01,1,-4,1339.52679710726
"1697",60,2.5,0.25,1.01,1,-4,1339.52679710726
"1698",85,2.5,0.25,1.01,1,-4,1339.52679710726
"1699",110,2.5,0.25,1.01,1,-4,1339.52679710726
"1700",135,2.5,0.25,1.01,1,-4,1339.52679710726
"1701",160,2.5,0.25,1.01,1,-4,1339.52679710726
"1702",10,0.5,0.5,1.01,1,-4,1339.40427446634
"1703",35,0.5,0.5,1.01,1,-4,1339.40465948328
"1704",60,0.5,0.5,1.01,1,-4,1339.40465948474
"1705",85,0.5,0.5,1.01,1,-4,1339.40465948474
"1706",110,0.5,0.5,1.01,1,-4,1339.40465948474
"1707",135,0.5,0.5,1.01,1,-4,1339.40465948474
"1708",160,0.5,0.5,1.01,1,-4,1339.40465948474
"1709",10,0.75,0.5,1.01,1,-4,1339.40465034104
"1710",35,0.75,0.5,1.01,1,-4,1339.40465948474
"1711",60,0.75,0.5,1.01,1,-4,1339.40465948474
"1712",85,0.75,0.5,1.01,1,-4,1339.40465948474
"1713",110,0.75,0.5,1.01,1,-4,1339.40465948474
"1714",135,0.75,0.5,1.01,1,-4,1339.40465948474
"1715",160,0.75,0.5,1.01,1,-4,1339.40465948474
"1716",10,1,0.5,1.01,1,-4,1339.40465928842
"1717",35,1,0.5,1.01,1,-4,1339.40465948474
"1718",60,1,0.5,1.01,1,-4,1339.40465948474
"1719",85,1,0.5,1.01,1,-4,1339.40465948474
"1720",110,1,0.5,1.01,1,-4,1339.40465948474
"1721",135,1,0.5,1.01,1,-4,1339.40465948474
"1722",160,1,0.5,1.01,1,-4,1339.40465948474
"1723",10,1.25,0.5,1.01,1,-4,1339.40465948071
"1724",35,1.25,0.5,1.01,1,-4,1339.40465948474
"1725",60,1.25,0.5,1.01,1,-4,1339.40465948474
"1726",85,1.25,0.5,1.01,1,-4,1339.40465948474
"1727",110,1.25,0.5,1.01,1,-4,1339.40465948474
"1728",135,1.25,0.5,1.01,1,-4,1339.40465948474
"1729",160,1.25,0.5,1.01,1,-4,1339.40465948474
"1730",10,1.5,0.5,1.01,1,-4,1339.40465948464
"1731",35,1.5,0.5,1.01,1,-4,1339.40465948474
"1732",60,1.5,0.5,1.01,1,-4,1339.40465948474
"1733",85,1.5,0.5,1.01,1,-4,1339.40465948474
"1734",110,1.5,0.5,1.01,1,-4,1339.40465948474
"1735",135,1.5,0.5,1.01,1,-4,1339.40465948474
"1736",160,1.5,0.5,1.01,1,-4,1339.40465948474
"1737",10,1.75,0.5,1.01,1,-4,1339.40465948474
"1738",35,1.75,0.5,1.01,1,-4,1339.40465948474
"1739",60,1.75,0.5,1.01,1,-4,1339.40465948474
"1740",85,1.75,0.5,1.01,1,-4,1339.40465948474
"1741",110,1.75,0.5,1.01,1,-4,1339.40465948474
"1742",135,1.75,0.5,1.01,1,-4,1339.40465948474
"1743",160,1.75,0.5,1.01,1,-4,1339.40465948474
"1744",10,2,0.5,1.01,1,-4,1339.40465948474
"1745",35,2,0.5,1.01,1,-4,1339.40465948474
"1746",60,2,0.5,1.01,1,-4,1339.40465948474
"1747",85,2,0.5,1.01,1,-4,1339.40465948474
"1748",110,2,0.5,1.01,1,-4,1339.40465948474
"1749",135,2,0.5,1.01,1,-4,1339.40465948474
"1750",160,2,0.5,1.01,1,-4,1339.40465948474
"1751",10,2.25,0.5,1.01,1,-4,1339.40465948474
"1752",35,2.25,0.5,1.01,1,-4,1339.40465948474
"1753",60,2.25,0.5,1.01,1,-4,1339.40465948474
"1754",85,2.25,0.5,1.01,1,-4,1339.40465948474
"1755",110,2.25,0.5,1.01,1,-4,1339.40465948474
"1756",135,2.25,0.5,1.01,1,-4,1339.40465948474
"1757",160,2.25,0.5,1.01,1,-4,1339.40465948474
"1758",10,2.5,0.5,1.01,1,-4,1339.40465948474
"1759",35,2.5,0.5,1.01,1,-4,1339.40465948474
"1760",60,2.5,0.5,1.01,1,-4,1339.40465948474
"1761",85,2.5,0.5,1.01,1,-4,1339.40465948474
"1762",110,2.5,0.5,1.01,1,-4,1339.40465948474
"1763",135,2.5,0.5,1.01,1,-4,1339.40465948474
"1764",160,2.5,0.5,1.01,1,-4,1339.40465948474
"1765",10,0.5,0.75,1.01,1,-4,1339.28988733018
"1766",35,0.5,0.75,1.01,1,-4,1339.2902164642
"1767",60,0.5,0.75,1.01,1,-4,1339.29021646545
"1768",85,0.5,0.75,1.01,1,-4,1339.29021646545
"1769",110,0.5,0.75,1.01,1,-4,1339.29021646545
"1770",135,0.5,0.75,1.01,1,-4,1339.29021646545
"1771",160,0.5,0.75,1.01,1,-4,1339.29021646545
"1772",10,0.75,0.75,1.01,1,-4,1339.29020864928
"1773",35,0.75,0.75,1.01,1,-4,1339.29021646545
"1774",60,0.75,0.75,1.01,1,-4,1339.29021646545
"1775",85,0.75,0.75,1.01,1,-4,1339.29021646545
"1776",110,0.75,0.75,1.01,1,-4,1339.29021646545
"1777",135,0.75,0.75,1.01,1,-4,1339.29021646545
"1778",160,0.75,0.75,1.01,1,-4,1339.29021646545
"1779",10,1,0.75,1.01,1,-4,1339.29021629765
"1780",35,1,0.75,1.01,1,-4,1339.29021646545
"1781",60,1,0.75,1.01,1,-4,1339.29021646545
"1782",85,1,0.75,1.01,1,-4,1339.29021646545
"1783",110,1,0.75,1.01,1,-4,1339.29021646545
"1784",135,1,0.75,1.01,1,-4,1339.29021646545
"1785",160,1,0.75,1.01,1,-4,1339.29021646545
"1786",10,1.25,0.75,1.01,1,-4,1339.29021646201
"1787",35,1.25,0.75,1.01,1,-4,1339.29021646545
"1788",60,1.25,0.75,1.01,1,-4,1339.29021646545
"1789",85,1.25,0.75,1.01,1,-4,1339.29021646545
"1790",110,1.25,0.75,1.01,1,-4,1339.29021646545
"1791",135,1.25,0.75,1.01,1,-4,1339.29021646545
"1792",160,1.25,0.75,1.01,1,-4,1339.29021646545
"1793",10,1.5,0.75,1.01,1,-4,1339.29021646536
"1794",35,1.5,0.75,1.01,1,-4,1339.29021646545
"1795",60,1.5,0.75,1.01,1,-4,1339.29021646545
"1796",85,1.5,0.75,1.01,1,-4,1339.29021646545
"1797",110,1.5,0.75,1.01,1,-4,1339.29021646545
"1798",135,1.5,0.75,1.01,1,-4,1339.29021646545
"1799",160,1.5,0.75,1.01,1,-4,1339.29021646545
"1800",10,1.75,0.75,1.01,1,-4,1339.29021646545
"1801",35,1.75,0.75,1.01,1,-4,1339.29021646545
"1802",60,1.75,0.75,1.01,1,-4,1339.29021646545
"1803",85,1.75,0.75,1.01,1,-4,1339.29021646545
"1804",110,1.75,0.75,1.01,1,-4,1339.29021646545
"1805",135,1.75,0.75,1.01,1,-4,1339.29021646545
"1806",160,1.75,0.75,1.01,1,-4,1339.29021646545
"1807",10,2,0.75,1.01,1,-4,1339.29021646545
"1808",35,2,0.75,1.01,1,-4,1339.29021646545
"1809",60,2,0.75,1.01,1,-4,1339.29021646545
"1810",85,2,0.75,1.01,1,-4,1339.29021646545
"1811",110,2,0.75,1.01,1,-4,1339.29021646545
"1812",135,2,0.75,1.01,1,-4,1339.29021646545
"1813",160,2,0.75,1.01,1,-4,1339.29021646545
"1814",10,2.25,0.75,1.01,1,-4,1339.29021646545
"1815",35,2.25,0.75,1.01,1,-4,1339.29021646545
"1816",60,2.25,0.75,1.01,1,-4,1339.29021646545
"1817",85,2.25,0.75,1.01,1,-4,1339.29021646545
"1818",110,2.25,0.75,1.01,1,-4,1339.29021646545
"1819",135,2.25,0.75,1.01,1,-4,1339.29021646545
"1820",160,2.25,0.75,1.01,1,-4,1339.29021646545
"1821",10,2.5,0.75,1.01,1,-4,1339.29021646545
"1822",35,2.5,0.75,1.01,1,-4,1339.29021646545
"1823",60,2.5,0.75,1.01,1,-4,1339.29021646545
"1824",85,2.5,0.75,1.01,1,-4,1339.29021646545
"1825",110,2.5,0.75,1.01,1,-4,1339.29021646545
"1826",135,2.5,0.75,1.01,1,-4,1339.29021646545
"1827",160,2.5,0.75,1.01,1,-4,1339.29021646545
"1828",10,0.5,1,1.01,1,-4,1339.18566886763
"1829",35,0.5,1,1.01,1,-4,1339.18594630453
"1830",60,0.5,1,1.01,1,-4,1339.18594630553
"1831",85,0.5,1,1.01,1,-4,1339.18594630553
"1832",110,0.5,1,1.01,1,-4,1339.18594630553
"1833",135,0.5,1,1.01,1,-4,1339.18594630553
"1834",160,0.5,1,1.01,1,-4,1339.18594630553
"1835",10,0.75,1,1.01,1,-4,1339.18593971735
"1836",35,0.75,1,1.01,1,-4,1339.18594630553
"1837",60,0.75,1,1.01,1,-4,1339.18594630553
"1838",85,0.75,1,1.01,1,-4,1339.18594630553
"1839",110,0.75,1,1.01,1,-4,1339.18594630553
"1840",135,0.75,1,1.01,1,-4,1339.18594630553
"1841",160,0.75,1,1.01,1,-4,1339.18594630553
"1842",10,1,1,1.01,1,-4,1339.18594616412
"1843",35,1,1,1.01,1,-4,1339.18594630553
"1844",60,1,1,1.01,1,-4,1339.18594630553
"1845",85,1,1,1.01,1,-4,1339.18594630553
"1846",110,1,1,1.01,1,-4,1339.18594630553
"1847",135,1,1,1.01,1,-4,1339.18594630553
"1848",160,1,1,1.01,1,-4,1339.18594630553
"1849",10,1.25,1,1.01,1,-4,1339.18594630265
"1850",35,1.25,1,1.01,1,-4,1339.18594630553
"1851",60,1.25,1,1.01,1,-4,1339.18594630553
"1852",85,1.25,1,1.01,1,-4,1339.18594630553
"1853",110,1.25,1,1.01,1,-4,1339.18594630553
"1854",135,1.25,1,1.01,1,-4,1339.18594630553
"1855",160,1.25,1,1.01,1,-4,1339.18594630553
"1856",10,1.5,1,1.01,1,-4,1339.18594630548
"1857",35,1.5,1,1.01,1,-4,1339.18594630553
"1858",60,1.5,1,1.01,1,-4,1339.18594630553
"1859",85,1.5,1,1.01,1,-4,1339.18594630553
"1860",110,1.5,1,1.01,1,-4,1339.18594630553
"1861",135,1.5,1,1.01,1,-4,1339.18594630553
"1862",160,1.5,1,1.01,1,-4,1339.18594630553
"1863",10,1.75,1,1.01,1,-4,1339.18594630553
"1864",35,1.75,1,1.01,1,-4,1339.18594630553
"1865",60,1.75,1,1.01,1,-4,1339.18594630553
"1866",85,1.75,1,1.01,1,-4,1339.18594630553
"1867",110,1.75,1,1.01,1,-4,1339.18594630553
"1868",135,1.75,1,1.01,1,-4,1339.18594630553
"1869",160,1.75,1,1.01,1,-4,1339.18594630553
"1870",10,2,1,1.01,1,-4,1339.18594630553
"1871",35,2,1,1.01,1,-4,1339.18594630553
"1872",60,2,1,1.01,1,-4,1339.18594630553
"1873",85,2,1,1.01,1,-4,1339.18594630553
"1874",110,2,1,1.01,1,-4,1339.18594630553
"1875",135,2,1,1.01,1,-4,1339.18594630553
"1876",160,2,1,1.01,1,-4,1339.18594630553
"1877",10,2.25,1,1.01,1,-4,1339.18594630553
"1878",35,2.25,1,1.01,1,-4,1339.18594630553
"1879",60,2.25,1,1.01,1,-4,1339.18594630553
"1880",85,2.25,1,1.01,1,-4,1339.18594630553
"1881",110,2.25,1,1.01,1,-4,1339.18594630553
"1882",135,2.25,1,1.01,1,-4,1339.18594630553
"1883",160,2.25,1,1.01,1,-4,1339.18594630553
"1884",10,2.5,1,1.01,1,-4,1339.18594630553
"1885",35,2.5,1,1.01,1,-4,1339.18594630553
"1886",60,2.5,1,1.01,1,-4,1339.18594630553
"1887",85,2.5,1,1.01,1,-4,1339.18594630553
"1888",110,2.5,1,1.01,1,-4,1339.18594630553
"1889",135,2.5,1,1.01,1,-4,1339.18594630553
"1890",160,2.5,1,1.01,1,-4,1339.18594630553
"1891",10,0.5,0,0.01,-1,-2.5,1456.090505081
"1892",35,0.5,0,0.01,-1,-2.5,1456.09190503868
"1893",60,0.5,0,0.01,-1,-2.5,1456.09190504389
"1894",85,0.5,0,0.01,-1,-2.5,1456.0919050439
"1895",110,0.5,0,0.01,-1,-2.5,1456.0919050439
"1896",135,0.5,0,0.01,-1,-2.5,1456.0919050439
"1897",160,0.5,0,0.01,-1,-2.5,1456.0919050439
"1898",10,0.75,0,0.01,-1,-2.5,1456.09187193375
"1899",35,0.75,0,0.01,-1,-2.5,1456.09190504389
"1900",60,0.75,0,0.01,-1,-2.5,1456.0919050439
"1901",85,0.75,0,0.01,-1,-2.5,1456.0919050439
"1902",110,0.75,0,0.01,-1,-2.5,1456.0919050439
"1903",135,0.75,0,0.01,-1,-2.5,1456.0919050439
"1904",160,0.75,0,0.01,-1,-2.5,1456.0919050439
"1905",10,1,0,0.01,-1,-2.5,1456.09190433616
"1906",35,1,0,0.01,-1,-2.5,1456.0919050439
"1907",60,1,0,0.01,-1,-2.5,1456.0919050439
"1908",85,1,0,0.01,-1,-2.5,1456.0919050439
"1909",110,1,0,0.01,-1,-2.5,1456.0919050439
"1910",135,1,0,0.01,-1,-2.5,1456.0919050439
"1911",160,1,0,0.01,-1,-2.5,1456.0919050439
"1912",10,1.25,0,0.01,-1,-2.5,1456.09190502952
"1913",35,1.25,0,0.01,-1,-2.5,1456.0919050439
"1914",60,1.25,0,0.01,-1,-2.5,1456.0919050439
"1915",85,1.25,0,0.01,-1,-2.5,1456.0919050439
"1916",110,1.25,0,0.01,-1,-2.5,1456.0919050439
"1917",135,1.25,0,0.01,-1,-2.5,1456.0919050439
"1918",160,1.25,0,0.01,-1,-2.5,1456.0919050439
"1919",10,1.5,0,0.01,-1,-2.5,1456.09190504362
"1920",35,1.5,0,0.01,-1,-2.5,1456.0919050439
"1921",60,1.5,0,0.01,-1,-2.5,1456.0919050439
"1922",85,1.5,0,0.01,-1,-2.5,1456.0919050439
"1923",110,1.5,0,0.01,-1,-2.5,1456.0919050439
"1924",135,1.5,0,0.01,-1,-2.5,1456.0919050439
"1925",160,1.5,0,0.01,-1,-2.5,1456.0919050439
"1926",10,1.75,0,0.01,-1,-2.5,1456.09190504389
"1927",35,1.75,0,0.01,-1,-2.5,1456.0919050439
"1928",60,1.75,0,0.01,-1,-2.5,1456.0919050439
"1929",85,1.75,0,0.01,-1,-2.5,1456.0919050439
"1930",110,1.75,0,0.01,-1,-2.5,1456.0919050439
"1931",135,1.75,0,0.01,-1,-2.5,1456.0919050439
"1932",160,1.75,0,0.01,-1,-2.5,1456.0919050439
"1933",10,2,0,0.01,-1,-2.5,1456.09190504389
"1934",35,2,0,0.01,-1,-2.5,1456.0919050439
"1935",60,2,0,0.01,-1,-2.5,1456.0919050439
"1936",85,2,0,0.01,-1,-2.5,1456.0919050439
"1937",110,2,0,0.01,-1,-2.5,1456.0919050439
"1938",135,2,0,0.01,-1,-2.5,1456.0919050439
"1939",160,2,0,0.01,-1,-2.5,1456.0919050439
"1940",10,2.25,0,0.01,-1,-2.5,1456.0919050439
"1941",35,2.25,0,0.01,-1,-2.5,1456.0919050439
"1942",60,2.25,0,0.01,-1,-2.5,1456.0919050439
"1943",85,2.25,0,0.01,-1,-2.5,1456.0919050439
"1944",110,2.25,0,0.01,-1,-2.5,1456.0919050439
"1945",135,2.25,0,0.01,-1,-2.5,1456.0919050439
"1946",160,2.25,0,0.01,-1,-2.5,1456.0919050439
"1947",10,2.5,0,0.01,-1,-2.5,1456.0919050439
"1948",35,2.5,0,0.01,-1,-2.5,1456.0919050439
"1949",60,2.5,0,0.01,-1,-2.5,1456.0919050439
"1950",85,2.5,0,0.01,-1,-2.5,1456.0919050439
"1951",110,2.5,0,0.01,-1,-2.5,1456.0919050439
"1952",135,2.5,0,0.01,-1,-2.5,1456.0919050439
"1953",160,2.5,0,0.01,-1,-2.5,1456.0919050439
"1954",10,0.5,0.25,0.01,-1,-2.5,1454.40160468132
"1955",35,0.5,0.25,0.01,-1,-2.5,1454.40284793433
"1956",60,0.5,0.25,0.01,-1,-2.5,1454.40284793898
"1957",85,0.5,0.25,0.01,-1,-2.5,1454.40284793898
"1958",110,0.5,0.25,0.01,-1,-2.5,1454.40284793898
"1959",135,0.5,0.25,0.01,-1,-2.5,1454.40284793898
"1960",160,0.5,0.25,0.01,-1,-2.5,1454.40284793898
"1961",10,0.75,0.25,0.01,-1,-2.5,1454.40281853469
"1962",35,0.75,0.25,0.01,-1,-2.5,1454.40284793898
"1963",60,0.75,0.25,0.01,-1,-2.5,1454.40284793898
"1964",85,0.75,0.25,0.01,-1,-2.5,1454.40284793898
"1965",110,0.75,0.25,0.01,-1,-2.5,1454.40284793898
"1966",135,0.75,0.25,0.01,-1,-2.5,1454.40284793898
"1967",160,0.75,0.25,0.01,-1,-2.5,1454.40284793898
"1968",10,1,0.25,0.01,-1,-2.5,1454.40284731043
"1969",35,1,0.25,0.01,-1,-2.5,1454.40284793898
"1970",60,1,0.25,0.01,-1,-2.5,1454.40284793898
"1971",85,1,0.25,0.01,-1,-2.5,1454.40284793898
"1972",110,1,0.25,0.01,-1,-2.5,1454.40284793898
"1973",135,1,0.25,0.01,-1,-2.5,1454.40284793898
"1974",160,1,0.25,0.01,-1,-2.5,1454.40284793898
"1975",10,1.25,0.25,0.01,-1,-2.5,1454.4028479262
"1976",35,1.25,0.25,0.01,-1,-2.5,1454.40284793898
"1977",60,1.25,0.25,0.01,-1,-2.5,1454.40284793898
"1978",85,1.25,0.25,0.01,-1,-2.5,1454.40284793898
"1979",110,1.25,0.25,0.01,-1,-2.5,1454.40284793898
"1980",135,1.25,0.25,0.01,-1,-2.5,1454.40284793898
"1981",160,1.25,0.25,0.01,-1,-2.5,1454.40284793898
"1982",10,1.5,0.25,0.01,-1,-2.5,1454.40284793873
"1983",35,1.5,0.25,0.01,-1,-2.5,1454.40284793898
"1984",60,1.5,0.25,0.01,-1,-2.5,1454.40284793898
"1985",85,1.5,0.25,0.01,-1,-2.5,1454.40284793898
"1986",110,1.5,0.25,0.01,-1,-2.5,1454.40284793898
"1987",135,1.5,0.25,0.01,-1,-2.5,1454.40284793898
"1988",160,1.5,0.25,0.01,-1,-2.5,1454.40284793898
"1989",10,1.75,0.25,0.01,-1,-2.5,1454.40284793898
"1990",35,1.75,0.25,0.01,-1,-2.5,1454.40284793898
"1991",60,1.75,0.25,0.01,-1,-2.5,1454.40284793898
"1992",85,1.75,0.25,0.01,-1,-2.5,1454.40284793898
"1993",110,1.75,0.25,0.01,-1,-2.5,1454.40284793898
"1994",135,1.75,0.25,0.01,-1,-2.5,1454.40284793898
"1995",160,1.75,0.25,0.01,-1,-2.5,1454.40284793898
"1996",10,2,0.25,0.01,-1,-2.5,1454.40284793898
"1997",35,2,0.25,0.01,-1,-2.5,1454.40284793898
"1998",60,2,0.25,0.01,-1,-2.5,1454.40284793898
"1999",85,2,0.25,0.01,-1,-2.5,1454.40284793898
"2000",110,2,0.25,0.01,-1,-2.5,1454.40284793898
"2001",135,2,0.25,0.01,-1,-2.5,1454.40284793898
"2002",160,2,0.25,0.01,-1,-2.5,1454.40284793898
"2003",10,2.25,0.25,0.01,-1,-2.5,1454.40284793898
"2004",35,2.25,0.25,0.01,-1,-2.5,1454.40284793898
"2005",60,2.25,0.25,0.01,-1,-2.5,1454.40284793898
"2006",85,2.25,0.25,0.01,-1,-2.5,1454.40284793898
"2007",110,2.25,0.25,0.01,-1,-2.5,1454.40284793898
"2008",135,2.25,0.25,0.01,-1,-2.5,1454.40284793898
"2009",160,2.25,0.25,0.01,-1,-2.5,1454.40284793898
"2010",10,2.5,0.25,0.01,-1,-2.5,1454.40284793898
"2011",35,2.5,0.25,0.01,-1,-2.5,1454.40284793898
"2012",60,2.5,0.25,0.01,-1,-2.5,1454.40284793898
"2013",85,2.5,0.25,0.01,-1,-2.5,1454.40284793898
"2014",110,2.5,0.25,0.01,-1,-2.5,1454.40284793898
"2015",135,2.5,0.25,0.01,-1,-2.5,1454.40284793898
"2016",160,2.5,0.25,0.01,-1,-2.5,1454.40284793898
"2017",10,0.5,0.5,0.01,-1,-2.5,1452.78016241788
"2018",35,0.5,0.5,0.01,-1,-2.5,1452.78124957461
"2019",60,0.5,0.5,0.01,-1,-2.5,1452.78124957866
"2020",85,0.5,0.5,0.01,-1,-2.5,1452.78124957866
"2021",110,0.5,0.5,0.01,-1,-2.5,1452.78124957866
"2022",135,0.5,0.5,0.01,-1,-2.5,1452.78124957866
"2023",160,0.5,0.5,0.01,-1,-2.5,1452.78124957866
"2024",10,0.75,0.5,0.01,-1,-2.5,1452.78122386593
"2025",35,0.75,0.5,0.01,-1,-2.5,1452.78124957866
"2026",60,0.75,0.5,0.01,-1,-2.5,1452.78124957866
"2027",85,0.75,0.5,0.01,-1,-2.5,1452.78124957866
"2028",110,0.75,0.5,0.01,-1,-2.5,1452.78124957866
