"","county","year","foi","incidence","previousyear","bernie","yrofinf"
"500","Independence-Arkansas","2016",0.613147159552295,1,1,1,2016
"501","Lake-Minnesota","2016",0.616604337683672,0,0,1,2016
"502","Marshall-Alabama","2016",0.630804546731078,1,1,1,2016
"503","Moniteau-Missouri","2016",0.612730086936802,1,1,1,2016
"504","Monroe-Illinois","2016",0.62640381564831,1,1,1,2016
"505","Orange-Indiana","2016",0.635343420061677,1,1,1,2016
"506","Pierce-Wisconsin","2016",0.60533540420078,1,1,1,2016
"507","Rainy River District (PART 1 OF)-Ontario","2016",0.604247133982647,1,1,1,2016
"508","Roane-Tennessee","2016",0.631543256462256,1,1,1,2016
"509","San Saba-Texas","2016",0.411250158290087,0,0,1,2016
"510","Scurry-Texas","2016",0.41221867193486,1,0,1,2016
"511","Vermillion-Indiana","2016",0.6339075308667,1,1,1,2016
"512","Victoria-Texas","2016",0.40357754007997,0,0,1,2016
"513","Wabasha-Minnesota","2016",0.614355937246725,0,0,1,2016
"514","Washington-Minnesota","2016",0.602966948085706,1,1,1,2016
"515","Wheeler-Texas","2016",0.479838205575964,0,0,1,2016
"516","Woods-Oklahoma","2016",0.510391498592723,0,0,1,2016
"517","Blanco-Texas","2017",0.465533031133726,1,0,1,2017
"518","Clayton-Iowa","2017",0.645982425834415,1,1,1,2017
"519","Cole-Missouri","2017",0.644390977355137,1,1,1,2017
"520","Crawford-Arkansas","2017",0.632158876479851,1,1,1,2017
"521","Hart-Kentucky","2017",0.991315411496965,1,1,1,2017
"522","Hickory-Missouri","2017",0.641711654089835,1,1,1,2017
"523","Mercer-North Dakota","2017",0.609772846162219,0,0,1,2017
"524","Ramsey-Minnesota","2017",0.640915640668706,1,1,1,2017
"525","Rooks-Kansas","2017",0.626102079708517,0,0,1,2017
"526","St. Louis-Missouri","2017",0.646592910545233,1,1,1,2017
"527","Ste. Genevieve-Missouri","2017",0.646345628155367,1,1,1,2017
"528","Thunder Bay District (Part 2 Of)-Ontario","2017",0.638869114539253,1,1,1,2017
"529","Montgomery-North Carolina","2018",0.654985962613333,1,0,1,2018
"530","Newton-Arkansas","2018",0.654985962613333,1,1,1,2018
"531","Niobrara-Wyoming","2018",0.654985962613332,1,0,1,2018
