"","a","dist","rho","theta","loglikelhood"
"110","0.1","15","0.5","1.6",-1325.64595132535
"111","0.1","15","0.5","1.8",-1325.97575566864
"112","0.1","15","0.5","2",-1326.20203539089
"113","0.1","15","0.6","0.6",-1321.56213653814
"114","0.1","15","0.6","0.8",-1322.74921589871
"115","0.1","15","0.6","1",-1323.79474546136
"116","0.1","15","0.6","1.2",-1324.60803969221
"117","0.1","15","0.6","1.4",-1325.20445188179
"118","0.1","15","0.6","1.6",-1325.62769289081
"119","0.1","15","0.6","1.8",-1325.92211852491
"120","0.1","15","0.6","2",-1326.12434902739
"121","0.1","15","0.7","0.6",-1322.6997039891
"122","0.1","15","0.7","0.8",-1323.70312093869
"123","0.1","15","0.7","1",-1324.58865212793
"124","0.1","15","0.7","1.2",-1325.27854823153
"125","0.1","15","0.7","1.4",-1325.78519985657
"126","0.1","15","0.7","1.6",-1326.14526040737
"127","0.1","15","0.7","1.8",-1326.39609959309
"128","0.1","15","0.7","2",-1326.56864639808
"129","0.1","15","0.8","0.6",-1324.9620512151
"130","0.1","15","0.8","0.8",-1325.73311391741
"131","0.1","15","0.8","1",-1326.41543707486
"132","0.1","15","0.8","1.2",-1326.9481377235
"133","0.1","15","0.8","1.4",-1327.34012431624
"134","0.1","15","0.8","1.6",-1327.61924377108
"135","0.1","15","0.8","1.8",-1327.81408713491
"136","0.1","15","0.8","2",-1327.94838879017
"137","0.1","15","0.9","0.6",-1329.46048822535
"138","0.1","15","0.9","0.8",-1329.92070737745
"139","0.1","15","0.9","1",-1330.32957266702
"140","0.1","15","0.9","1.2",-1330.64976286957
"141","0.1","15","0.9","1.4",-1330.88605921332
"142","0.1","15","0.9","1.6",-1331.05481215667
"143","0.1","15","0.9","1.8",-1331.17296235809
"144","0.1","15","0.9","2",-1331.25464776004
"145","0.1","25","0.1","0.6",-1324.117982646
"146","0.1","25","0.1","0.8",-1325.79845805555
"147","0.1","25","0.1","1",-1327.07566520043
"148","0.1","25","0.1","1.2",-1327.95367326336
"149","0.1","25","0.1","1.4",-1328.52753554159
"150","0.1","25","0.1","1.6",-1328.89188688604
"151","0.1","25","0.1","1.8",-1329.11911302589
"152","0.1","25","0.1","2",-1329.25920225453
"153","0.1","25","0.2","0.6",-1323.45309273262
"154","0.1","25","0.2","0.8",-1325.05297493871
"155","0.1","25","0.2","1",-1326.2693550059
"156","0.1","25","0.2","1.2",-1327.10580798023
"157","0.1","25","0.2","1.4",-1327.65268124528
"158","0.1","25","0.2","1.6",-1328.00000760326
"159","0.1","25","0.2","1.8",-1328.21668551421
"160","0.1","25","0.2","2",-1328.35031379689
"161","0.1","25","0.3","0.6",-1322.94036709466
"162","0.1","25","0.3","0.8",-1324.4494199416
"163","0.1","25","0.3","1",-1325.59735459436
"164","0.1","25","0.3","1.2",-1326.38711634897
"165","0.1","25","0.3","1.4",-1326.90370863132
"166","0.1","25","0.3","1.6",-1327.23196155142
"167","0.1","25","0.3","1.8",-1327.43683985321
"168","0.1","25","0.3","2",-1327.56325244647
"169","0.1","25","0.4","0.6",-1322.61939186834
"170","0.1","25","0.4","0.8",-1324.02450907479
"171","0.1","25","0.4","1",-1325.09415572206
"172","0.1","25","0.4","1.2",-1325.83053460935
"173","0.1","25","0.4","1.4",-1326.31252059236
"174","0.1","25","0.4","1.6",-1326.61898493838
"175","0.1","25","0.4","1.8",-1326.81039058259
"176","0.1","25","0.4","2",-1326.92856860034
"177","0.1","25","0.5","0.6",-1322.56034295655
"178","0.1","25","0.5","0.8",-1323.84447673933
"179","0.1","25","0.5","1",-1324.82295236051
"180","0.1","25","0.5","1.2",-1325.49714028441
"181","0.1","25","0.5","1.4",-1325.93879455324
"182","0.1","25","0.5","1.6",-1326.21985590359
"183","0.1","25","0.5","1.8",-1326.39554826073
"184","0.1","25","0.5","2",-1326.50411915091
"185","0.1","25","0.6","0.6",-1322.88654733935
"186","0.1","25","0.6","0.8",-1324.02689932396
"187","0.1","25","0.6","1",-1324.89688744535
"188","0.1","25","0.6","1.2",-1325.49698959957
"189","0.1","25","0.6","1.4",-1325.89054491543
"190","0.1","25","0.6","1.6",-1326.14127732364
"191","0.1","25","0.6","1.8",-1326.29818876545
"192","0.1","25","0.6","2",-1326.39526451666
"193","0.1","25","0.7","0.6",-1323.82495184262
"194","0.1","25","0.7","0.8",-1324.78977126911
"195","0.1","25","0.7","1",-1325.52703503783
"196","0.1","25","0.7","1.2",-1326.03632879107
"197","0.1","25","0.7","1.4",-1326.37081754229
"198","0.1","25","0.7","1.6",-1326.58423462954
"199","0.1","25","0.7","1.8",-1326.71799443253
"200","0.1","25","0.7","2",-1326.80087273694
"201","0.1","25","0.8","0.6",-1325.83279645327
"202","0.1","25","0.8","0.8",-1326.57517410721
"203","0.1","25","0.8","1",-1327.14370760069
"204","0.1","25","0.8","1.2",-1327.53722702675
"205","0.1","25","0.8","1.4",-1327.7961947225
"206","0.1","25","0.8","1.6",-1327.96176271033
"207","0.1","25","0.8","1.8",-1328.0657478866
"208","0.1","25","0.8","2",-1328.13031272099
