"","a","dist","rho","theta","loglikelhood"
"1006","0.3","25","0.9","1.6",-1327.83855012779
"1007","0.3","25","0.9","1.8",-1327.86411009467
"1008","0.3","25","0.9","2",-1327.88007010904
"1009","0.3","35","0.1","0.6",-1327.61442239872
"1010","0.3","35","0.1","0.8",-1328.52945163383
"1011","0.3","35","0.1","1",-1329.17288873122
"1012","0.3","35","0.1","1.2",-1329.58572607589
"1013","0.3","35","0.1","1.4",-1329.83844713176
"1014","0.3","35","0.1","1.6",-1329.98898970391
"1015","0.3","35","0.1","1.8",-1330.07715927262
"1016","0.3","35","0.1","2",-1330.12823706104
"1017","0.3","35","0.2","0.6",-1327.14061035422
"1018","0.3","35","0.2","0.8",-1327.99171078127
"1019","0.3","35","0.2","1",-1328.59037392889
"1020","0.3","35","0.2","1.2",-1328.9745990491
"1021","0.3","35","0.2","1.4",-1329.20988367614
"1022","0.3","35","0.2","1.6",-1329.35008510186
"1023","0.3","35","0.2","1.8",-1329.43222846428
"1024","0.3","35","0.2","2",-1329.47983476605
"1025","0.3","35","0.3","0.6",-1326.74234798602
"1026","0.3","35","0.3","0.8",-1327.52408075229
"1027","0.3","35","0.3","1",-1328.07417370511
"1028","0.3","35","0.3","1.2",-1328.42736827805
"1029","0.3","35","0.3","1.4",-1328.64374269188
"1030","0.3","35","0.3","1.6",-1328.77273833171
"1031","0.3","35","0.3","1.8",-1328.84834741606
"1032","0.3","35","0.3","2",-1328.8921843196
"1033","0.3","35","0.4","0.6",-1326.43201510136
"1034","0.3","35","0.4","0.8",-1327.13791936073
"1035","0.3","35","0.4","1",-1327.6349029523
"1036","0.3","35","0.4","1.2",-1327.95415771634
"1037","0.3","35","0.4","1.4",-1328.14984270222
"1038","0.3","35","0.4","1.6",-1328.26656486993
"1039","0.3","35","0.4","1.8",-1328.33501995299
"1040","0.3","35","0.4","2",-1328.37473146543
"1041","0.3","35","0.5","0.6",-1326.22910447145
"1042","0.3","35","0.5","0.8",-1326.85142422512
"1043","0.3","35","0.5","1",-1327.28982953638
"1044","0.3","35","0.5","1.2",-1327.57162591656
"1045","0.3","35","0.5","1.4",-1327.74446088942
"1046","0.3","35","0.5","1.6",-1327.84762214752
"1047","0.3","35","0.5","1.8",-1327.90816478527
"1048","0.3","35","0.5","2",-1327.94331031036
"1049","0.3","35","0.6","0.6",-1326.16363980564
"1050","0.3","35","0.6","0.8",-1326.6929421446
"1051","0.3","35","0.6","1",-1327.06609486764
"1052","0.3","35","0.6","1.2",-1327.30612401248
"1053","0.3","35","0.6","1.4",-1327.45345482205
"1054","0.3","35","0.6","1.6",-1327.54146322931
"1055","0.3","35","0.6","1.8",-1327.59315533819
"1056","0.3","35","0.6","2",-1327.62318786447
"1057","0.3","35","0.7","0.6",-1326.28248765594
"1058","0.3","35","0.7","0.8",-1326.70708614838
"1059","0.3","35","0.7","1",-1327.00668955172
"1060","0.3","35","0.7","1.2",-1327.1995787066
"1061","0.3","35","0.7","1.4",-1327.31808444838
"1062","0.3","35","0.7","1.6",-1327.38894229853
"1063","0.3","35","0.7","1.8",-1327.43060199482
"1064","0.3","35","0.7","2",-1327.45483004439
"1065","0.3","35","0.8","0.6",-1326.66166408619
"1066","0.3","35","0.8","0.8",-1326.96671525916
"1067","0.3","35","0.8","1",-1327.18219608055
"1068","0.3","35","0.8","1.2",-1327.32107521599
"1069","0.3","35","0.8","1.4",-1327.4064950792
"1070","0.3","35","0.8","1.6",-1327.45762997374
"1071","0.3","35","0.8","1.8",-1327.48773036686
"1072","0.3","35","0.8","2",-1327.50525710614
"1073","0.3","35","0.9","0.6",-1327.43269652258
"1074","0.3","35","0.9","0.8",-1327.59869215852
"1075","0.3","35","0.9","1",-1327.71610363753
"1076","0.3","35","0.9","1.2",-1327.79187739816
"1077","0.3","35","0.9","1.4",-1327.83854879726
"1078","0.3","35","0.9","1.6",-1327.86652880026
"1079","0.3","35","0.9","1.8",-1327.88302378546
"1080","0.3","35","0.9","2",-1327.89264319662
"1081","0.3","45","0.1","0.6",-1327.97776706727
"1082","0.3","45","0.1","0.8",-1328.83377786083
"1083","0.3","45","0.1","1",-1329.40058466417
"1084","0.3","45","0.1","1.2",-1329.74482575144
"1085","0.3","45","0.1","1.4",-1329.94470782551
"1086","0.3","45","0.1","1.6",-1330.05775736474
"1087","0.3","45","0.1","1.8",-1330.12065670566
"1088","0.3","45","0.1","2",-1330.15528499799
"1089","0.3","45","0.2","0.6",-1327.47884514675
"1090","0.3","45","0.2","0.8",-1328.27504996972
"1091","0.3","45","0.2","1",-1328.80241531687
"1092","0.3","45","0.2","1.2",-1329.12280047491
"1093","0.3","45","0.2","1.4",-1329.30889798402
"1094","0.3","45","0.2","1.6",-1329.41418401891
"1095","0.3","45","0.2","1.8",-1329.4727864284
"1096","0.3","45","0.2","2",-1329.50506328522
"1097","0.3","45","0.3","0.6",-1327.0533258099
"1098","0.3","45","0.3","0.8",-1327.78465300216
"1099","0.3","45","0.3","1",-1328.2692364783
"1100","0.3","45","0.3","1.2",-1328.56375568943
"1101","0.3","45","0.3","1.4",-1328.73490218828
"1102","0.3","45","0.3","1.6",-1328.83177566217
"1103","0.3","45","0.3","1.8",-1328.88571895305
"1104","0.3","45","0.3","2",-1328.91544093746
"1105","0.3","45","0.4","0.6",-1326.71316161239
"1106","0.3","45","0.4","0.8",-1327.37357165831
"1107","0.3","45","0.4","1",-1327.81138150796
"1108","0.3","45","0.4","1.2",-1328.07760826373
"1109","0.3","45","0.4","1.4",-1328.23239468574
"1110","0.3","45","0.4","1.6",-1328.32005797058
"1111","0.3","45","0.4","1.8",-1328.36890035212
"1112","0.3","45","0.4","2",-1328.39582719247
"1113","0.3","45","0.5","0.6",-1326.47730979669
"1114","0.3","45","0.5","0.8",-1327.05955047578
"1115","0.3","45","0.5","1",-1327.44577140716
"1116","0.3","45","0.5","1.2",-1327.68077289317
"1117","0.3","45","0.5","1.4",-1327.81749337632
"1118","0.3","45","0.5","1.6",-1327.89497713154
"1119","0.3","45","0.5","1.8",-1327.93817752684
"1120","0.3","45","0.5","2",-1327.96201033236
"1121","0.3","45","0.6","0.6",-1326.37509815469
"1122","0.3","45","0.6","0.8",-1326.87034404947
"1123","0.3","45","0.6","1",-1327.1990964403
"1124","0.3","45","0.6","1.2",-1327.39927908041
"1125","0.3","45","0.6","1.4",-1327.51583345091
"1126","0.3","45","0.6","1.6",-1327.58194204797
"1127","0.3","45","0.6","1.8",-1327.61883054573
"1128","0.3","45","0.6","2",-1327.63919821476
"1129","0.3","45","0.7","0.6",-1326.45245421176
"1130","0.3","45","0.7","0.8",-1326.84976606897
"1131","0.3","45","0.7","1",-1327.11373824738
"1132","0.3","45","0.7","1.2",-1327.2746191059
"1133","0.3","45","0.7","1.4",-1327.3683787907
"1134","0.3","45","0.7","1.6",-1327.42161026646
"1135","0.3","45","0.7","1.8",-1327.45134316374
"1136","0.3","45","0.7","2",-1327.46777634581
"1137","0.3","45","0.8","0.6",-1326.7840708387
"1138","0.3","45","0.8","0.8",-1327.06954781939
"1139","0.3","45","0.8","1",-1327.25941816063
"1140","0.3","45","0.8","1.2",-1327.3752630106
"1141","0.3","45","0.8","1.4",-1327.44285362309
"1142","0.3","45","0.8","1.6",-1327.48127376368
"1143","0.3","45","0.8","1.8",-1327.50275967902
"1144","0.3","45","0.8","2",-1327.51464958349
"1145","0.3","45","0.9","0.6",-1327.49950485215
"1146","0.3","45","0.9","0.8",-1327.65486948998
"1147","0.3","45","0.9","1",-1327.75833750477
"1148","0.3","45","0.9","1.2",-1327.82155153012
"1149","0.3","45","0.9","1.4",-1327.85848711601
"1150","0.3","45","0.9","1.6",-1327.87951335389
"1151","0.3","45","0.9","1.8",-1327.89128990773
"1152","0.3","45","0.9","2",-1327.89781683356
"1153","0.3","55","0.1","0.6",-1328.23066040541
"1154","0.3","55","0.1","0.8",-1329.03630346215
"1155","0.3","55","0.1","1",-1329.54542934347
"1156","0.3","55","0.1","1.2",-1329.84154592772
"1157","0.3","55","0.1","1.4",-1330.00642793669
"1158","0.3","55","0.1","1.6",-1330.0959147521
"1159","0.3","55","0.1","1.8",-1330.14371100093
"1160","0.3","55","0.1","2",-1330.16897713247
"1161","0.3","55","0.2","0.6",-1327.71424155514
"1162","0.3","55","0.2","0.8",-1328.46359720116
"1163","0.3","55","0.2","1",-1328.93729556918
"1164","0.3","55","0.2","1.2",-1329.21289347138
"1165","0.3","55","0.2","1.4",-1329.36640495997
"1166","0.3","55","0.2","1.6",-1329.44975031775
"1167","0.3","55","0.2","1.8",-1329.49428515863
"1168","0.3","55","0.2","2",-1329.51783446338
"1169","0.3","55","0.3","0.6",-1327.26973299174
"1170","0.3","55","0.3","0.8",-1327.95803506828
"1171","0.3","55","0.3","1",-1328.39330925994
"1172","0.3","55","0.3","1.2",-1328.64666184155
"1173","0.3","55","0.3","1.4",-1328.78784645866
"1174","0.3","55","0.3","1.6",-1328.8645328393
"1175","0.3","55","0.3","1.8",-1328.90552601627
"1176","0.3","55","0.3","2",-1328.92721385484
"1177","0.3","55","0.4","0.6",-1326.90879006412
"1178","0.3","55","0.4","0.8",-1327.53035911853
"1179","0.3","55","0.4","1",-1327.92362647951
"1180","0.3","55","0.4","1.2",-1328.1526473234
"1181","0.3","55","0.4","1.4",-1328.28033989726
"1182","0.3","55","0.4","1.6",-1328.34973830313
"1183","0.3","55","0.4","1.8",-1328.38685687618
"1184","0.3","55","0.4","2",-1328.40650593732
"1185","0.3","55","0.5","0.6",-1326.649998272
"1186","0.3","55","0.5","0.8",-1327.19801110255
"1187","0.3","55","0.5","1",-1327.54494758828
"1188","0.3","55","0.5","1.2",-1327.74711419533
"1189","0.3","55","0.5","1.4",-1327.8599080922
"1190","0.3","55","0.5","1.6",-1327.92125118468
"1191","0.3","55","0.5","1.8",-1327.95408384783
"1192","0.3","55","0.5","2",-1327.97147633532
"1193","0.3","55","0.6","0.6",-1326.52220182936
"1194","0.3","55","0.6","0.8",-1326.98835235941
"1195","0.3","55","0.6","1",-1327.28367640748
"1196","0.3","55","0.6","1.2",-1327.45589702881
"1197","0.3","55","0.6","1.4",-1327.5520595429
"1198","0.3","55","0.6","1.6",-1327.60440024245
"1199","0.3","55","0.6","1.8",-1327.6324378968
"1200","0.3","55","0.6","2",-1327.64730272188
"1201","0.3","55","0.7","0.6",-1326.57067671593
"1202","0.3","55","0.7","0.8",-1326.94466579394
"1203","0.3","55","0.7","1",-1327.18180775222
"1204","0.3","55","0.7","1.2",-1327.32022447036
"1205","0.3","55","0.7","1.4",-1327.39758565403
"1206","0.3","55","0.7","1.6",-1327.43973453015
"1207","0.3","55","0.7","1.8",-1327.46233524278
"1208","0.3","55","0.7","2",-1327.47432969855
"1209","0.3","55","0.8","0.6",-1326.86919786766
"1210","0.3","55","0.8","0.8",-1327.13793418751
"1211","0.3","55","0.8","1",-1327.308516369
"1212","0.3","55","0.8","1.2",-1327.40819267349
"1213","0.3","55","0.8","1.4",-1327.46396680143
"1214","0.3","55","0.8","1.6",-1327.49439078486
"1215","0.3","55","0.8","1.8",-1327.51072459449
"1216","0.3","55","0.8","2",-1327.5194037904
"1217","0.3","55","0.9","0.6",-1327.54595644496
"1218","0.3","55","0.9","0.8",-1327.69222231189
"1219","0.3","55","0.9","1",-1327.78518641767
"1220","0.3","55","0.9","1.2",-1327.83958270306
"1221","0.3","55","0.9","1.4",-1327.8700642521
"1222","0.3","55","0.9","1.6",-1327.88671659339
"1223","0.3","55","0.9","1.8",-1327.89567049802
"1224","0.3","55","0.9","2",-1327.90043564229
"1225","0.3","65","0.1","0.6",-1328.41897181334
"1226","0.3","65","0.1","0.8",-1329.18171177473
"1227","0.3","65","0.1","1",-1329.64568233883
"1228","0.3","65","0.1","1.2",-1329.90606945029
"1229","0.3","65","0.1","1.4",-1330.04610830886
"1230","0.3","65","0.1","1.6",-1330.11955396944
"1231","0.3","65","0.1","1.8",-1330.15747303723
"1232","0.3","65","0.1","2",-1330.17685254156
"1233","0.3","65","0.2","0.6",-1327.88951352779
"1234","0.3","65","0.2","0.8",-1328.5989625654
"1235","0.3","65","0.2","1",-1329.03064854603
"1236","0.3","65","0.2","1.2",-1329.27299699227
"1237","0.3","65","0.2","1.4",-1329.40338027737
"1238","0.3","65","0.2","1.6",-1329.47178401489
"1239","0.3","65","0.2","1.8",-1329.5071170275
"1240","0.3","65","0.2","2",-1329.5251798828
"1241","0.3","65","0.3","0.6",-1327.43085534652
"1242","0.3","65","0.3","0.8",-1328.08250616753
"1243","0.3","65","0.3","1",-1328.47917888081
"1244","0.3","65","0.3","1.2",-1328.70196686854
"1245","0.3","65","0.3","1.4",-1328.82188340952
"1246","0.3","65","0.3","1.6",-1328.8848260355
"1247","0.3","65","0.3","1.8",-1328.91734945928
"1248","0.3","65","0.3","2",-1328.9339851082
"1249","0.3","65","0.4","0.6",-1327.05443179134
"1250","0.3","65","0.4","0.8",-1327.64291055483
"1251","0.3","65","0.4","1",-1328.00130694724
"1252","0.3","65","0.4","1.2",-1328.20270298107
"1253","0.3","65","0.4","1.4",-1328.31116255728
"1254","0.3","65","0.4","1.6",-1328.36812515546
"1255","0.3","65","0.4","1.8",-1328.39757546775
"1256","0.3","65","0.4","2",-1328.41264795913
"1257","0.3","65","0.5","0.6",-1326.77855139235
"1258","0.3","65","0.5","0.8",-1327.29740023987
"1259","0.3","65","0.5","1",-1327.61358040845
"1260","0.3","65","0.5","1.2",-1327.79136652056
"1261","0.3","65","0.5","1.4",-1327.88717484766
"1262","0.3","65","0.5","1.6",-1327.93752767667
"1263","0.3","65","0.5","1.8",-1327.96357879483
"1264","0.3","65","0.5","2",-1327.97692071813
"1265","0.3","65","0.6","0.6",-1326.6316994233
"1266","0.3","65","0.6","0.8",-1327.07305438265
"1267","0.3","65","0.6","1",-1327.34220509272
"1268","0.3","65","0.6","1.2",-1327.49366216731
"1269","0.3","65","0.6","1.4",-1327.57534721779
"1270","0.3","65","0.6","1.6",-1327.61831272676
"1271","0.3","65","0.6","1.8",-1327.64056026702
"1272","0.3","65","0.6","2",-1327.65196394681
"1273","0.3","65","0.7","0.6",-1326.65866753516
"1274","0.3","65","0.7","0.8",-1327.01277565789
"1275","0.3","65","0.7","1",-1327.22890854759
"1276","0.3","65","0.7","1.2",-1327.35064266465
"1277","0.3","65","0.7","1.4",-1327.41636062171
"1278","0.3","65","0.7","1.6",-1327.45096186746
"1279","0.3","65","0.7","1.8",-1327.46889663199
"1280","0.3","65","0.7","2",-1327.47809882311
"1281","0.3","65","0.8","0.6",-1326.93254875817
"1282","0.3","65","0.8","0.8",-1327.18701060931
"1283","0.3","65","0.8","1",-1327.34248740028
"1284","0.3","65","0.8","1.2",-1327.43015535689
"1285","0.3","65","0.8","1.4",-1327.47753834726
"1286","0.3","65","0.8","1.6",-1327.5025162993
"1287","0.3","65","0.8","1.8",-1327.51547903467
"1288","0.3","65","0.8","2",-1327.52213822431
"1289","0.3","65","0.9","0.6",-1327.58052028535
"1290","0.3","65","0.9","0.8",-1327.71902479514
"1291","0.3","65","0.9","1",-1327.80376159099
"1292","0.3","65","0.9","1.2",-1327.85160797727
"1293","0.3","65","0.9","1.4",-1327.87750587562
"1294","0.3","65","0.9","1.6",-1327.89117862114
"1295","0.3","65","0.9","1.8",-1327.89828520516
"1296","0.3","65","0.9","2",-1327.90194183615
"1297","0.3","75","0.1","0.6",-1328.56581823092
"1298","0.3","75","0.1","0.8",-1329.29167044411
"1299","0.3","75","0.1","1",-1329.71918847192
"1300","0.3","75","0.1","1.2",-1329.95193302859
"1301","0.3","75","0.1","1.4",-1330.07344894856
"1302","0.3","75","0.1","1.6",-1330.13534184141
"1303","0.3","75","0.1","1.8",-1330.16638180139
"1304","0.3","75","0.1","2",-1330.18179351573
"1305","0.3","75","0.2","0.6",-1328.02618539729
"1306","0.3","75","0.2","0.8",-1328.70132579886
"1307","0.3","75","0.2","1",-1329.09909112985
"1308","0.3","75","0.2","1.2",-1329.31571352353
"1309","0.3","75","0.2","1.4",-1329.42885232786
"1310","0.3","75","0.2","1.6",-1329.48649954215
"1311","0.3","75","0.2","1.8",-1329.51542075916
"1312","0.3","75","0.2","2",-1329.5297884824
"1313","0.3","75","0.3","0.6",-1327.5564876548
"1314","0.3","75","0.3","0.8",-1328.17662508421
"1315","0.3","75","0.3","1",-1328.54213557701
"1316","0.3","75","0.3","1.2",-1328.74127944617
"1317","0.3","75","0.3","1.4",-1328.84533518727
"1318","0.3","75","0.3","1.6",-1328.89837901463
"1319","0.3","75","0.3","1.8",-1328.92500313851
"1320","0.3","75","0.3","2",-1328.93823331943
"1321","0.3","75","0.4","0.6",-1327.16798711073
"1322","0.3","75","0.4","0.8",-1327.72801278468
"1323","0.3","75","0.4","1",-1328.05825791791
"1324","0.3","75","0.4","1.2",-1328.23828092109
"1325","0.3","75","0.4","1.4",-1328.33239934854
"1326","0.3","75","0.4","1.6",-1328.38040488517
"1327","0.3","75","0.4","1.8",-1328.40451403029
"1328","0.3","75","0.4","2",-1328.41650147342
"1329","0.3","75","0.5","0.6",-1326.87877693588
"1330","0.3","75","0.5","0.8",-1327.37254649089
"1331","0.3","75","0.5","1",-1327.66389667197
"1332","0.3","75","0.5","1.2",-1327.82281883638
"1333","0.3","75","0.5","1.4",-1327.90596142297
"1334","0.3","75","0.5","1.6",-1327.94839789782
"1335","0.3","75","0.5","1.8",-1327.96972508401
"1336","0.3","75","0.5","2",-1327.98033665762
"1337","0.3","75","0.6","0.6",-1326.71706273192
"1338","0.3","75","0.6","0.8",-1327.13709280357
"1339","0.3","75","0.6","1",-1327.38511227134
"1340","0.3","75","0.6","1.2",-1327.52050304307
"1341","0.3","75","0.6","1.4",-1327.59139198416
"1342","0.3","75","0.6","1.6",-1327.62760398841
"1343","0.3","75","0.6","1.8",-1327.645818318
"1344","0.3","75","0.6","2",-1327.65488848963
"1345","0.3","75","0.7","0.6",-1326.72725886177
"1346","0.3","75","0.7","0.8",-1327.06426645955
"1347","0.3","75","0.7","1",-1327.26343636404
"1348","0.3","75","0.7","1.2",-1327.37226130154
"1349","0.3","75","0.7","1.4",-1327.4292959305
"1350","0.3","75","0.7","1.6",-1327.45845990085
"1351","0.3","75","0.7","1.8",-1327.47314388814
"1352","0.3","75","0.7","2",-1327.48046360242
"1353","0.3","75","0.8","0.6",-1326.98192804516
"1354","0.3","75","0.8","0.8",-1327.22410949906
"1355","0.3","75","0.8","1",-1327.36738913512
"1356","0.3","75","0.8","1.2",-1327.44576400919
"1357","0.3","75","0.8","1.4",-1327.48688855788
"1358","0.3","75","0.8","1.6",-1327.50794272747
"1359","0.3","75","0.8","1.8",-1327.51855647672
"1360","0.3","75","0.8","2",-1327.52385385113
"1361","0.3","75","0.9","0.6",-1327.60745822675
"1362","0.3","75","0.9","0.8",-1327.73928401656
"1363","0.3","75","0.9","1",-1327.81737679578
"1364","0.3","75","0.9","1.2",-1327.86015384154
"1365","0.3","75","0.9","1.4",-1327.88263262563
"1366","0.3","75","0.9","1.6",-1327.89415830402
"1367","0.3","75","0.9","1.8",-1327.89997773301
"1368","0.3","75","0.9","2",-1327.90288665427
"1369","0.3","85","0.1","0.6",-1328.68424320811
"1370","0.3","85","0.1","0.8",-1329.3780214311
"1371","0.3","85","0.1","1",-1329.77539168116
"1372","0.3","85","0.1","1.2",-1329.9860726194
"1373","0.3","85","0.1","1.4",-1330.09326049108
"1374","0.3","85","0.1","1.6",-1330.14647805427
"1375","0.3","85","0.1","1.8",-1330.17249845138
"1376","0.3","85","0.1","2",-1330.18509577678
"1377","0.3","85","0.2","0.6",-1328.13640100001
"1378","0.3","85","0.2","0.8",-1328.78170486284
"1379","0.3","85","0.2","1",-1329.15142636393
"1380","0.3","85","0.2","1.2",-1329.3475148776
"1381","0.3","85","0.2","1.4",-1329.44731438543
"1382","0.3","85","0.2","1.6",-1329.49688197145
"1383","0.3","85","0.2","1.8",-1329.52112664679
"1384","0.3","85","0.2","2",-1329.53286582312
"1385","0.3","85","0.3","0.6",-1327.65779664618
"1386","0.3","85","0.3","0.8",-1328.25053265039
"1387","0.3","85","0.3","1",-1328.59027075547
"1388","0.3","85","0.3","1.2",-1328.77053967958
"1389","0.3","85","0.3","1.4",-1328.86232847359
"1390","0.3","85","0.3","1.6",-1328.90793866334
"1391","0.3","85","0.3","1.8",-1328.93025812817
"1392","0.3","85","0.3","2",-1328.94107265251
"1393","0.3","85","0.4","0.6",-1327.25955330114
"1394","0.3","85","0.4","0.8",-1327.7948377471
"1395","0.3","85","0.4","1",-1328.10180034222
"1396","0.3","85","0.4","1.2",-1328.26476292975
"1397","0.3","85","0.4","1.4",-1328.34778755087
"1398","0.3","85","0.4","1.6",-1328.38906637342
"1399","0.3","85","0.4","1.8",-1328.40927803006
"1400","0.3","85","0.4","2",-1328.41907685928
"1401","0.3","85","0.5","0.6",-1326.95959094243
"1402","0.3","85","0.5","0.8",-1327.43155175726
"1403","0.3","85","0.5","1",-1327.70236552214
"1404","0.3","85","0.5","1.2",-1327.8462298047
"1405","0.3","85","0.5","1.4",-1327.91957402413
"1406","0.3","85","0.5","1.6",-1327.9560652012
"1407","0.3","85","0.5","1.8",-1327.97394498172
"1408","0.3","85","0.5","2",-1327.98261947282
"1409","0.3","85","0.6","0.6",-1326.78588932383
"1410","0.3","85","0.6","0.8",-1327.18737377235
"1411","0.3","85","0.6","1",-1327.4179155274
"1412","0.3","85","0.6","1.2",-1327.54048122698
"1413","0.3","85","0.6","1.4",-1327.60301779001
"1414","0.3","85","0.6","1.6",-1327.63415761944
"1415","0.3","85","0.6","1.8",-1327.64942820336
"1416","0.3","85","0.6","2",-1327.65684287826
"1417","0.3","85","0.7","0.6",-1326.78255920228
"1418","0.3","85","0.7","0.8",-1327.10469374099
"1419","0.3","85","0.7","1",-1327.28983273191
"1420","0.3","85","0.7","1.2",-1327.38835218347
"1421","0.3","85","0.7","1.4",-1327.43866858464
"1422","0.3","85","0.7","1.6",-1327.46374854392
"1423","0.3","85","0.7","1.8",-1327.47606003341
"1424","0.3","85","0.7","2",-1327.48204399133
"1425","0.3","85","0.8","0.6",-1327.02173600232
"1426","0.3","85","0.8","0.8",-1327.25323542422
"1427","0.3","85","0.8","1",-1327.38642552322
"1428","0.3","85","0.8","1.2",-1327.45738134133
"1429","0.3","85","0.8","1.4",-1327.49366338387
"1430","0.3","85","0.8","1.6",-1327.51177011261
"1431","0.3","85","0.8","1.8",-1327.5206694337
"1432","0.3","85","0.8","2",-1327.52500039393
"1433","0.3","85","0.9","0.6",-1327.6291727708
"1434","0.3","85","0.9","0.8",-1327.75518827834
"1435","0.3","85","0.9","1",-1327.8277846567
"1436","0.3","85","0.9","1.2",-1327.86651415316
"1437","0.3","85","0.9","1.4",-1327.88634725468
"1438","0.3","85","0.9","1.6",-1327.89626016123
"1439","0.3","85","0.9","1.8",-1327.90113982389
"1440","0.3","85","0.9","2",-1327.90351817308
"1441","0.3","95","0.1","0.6",-1328.78222117448
"1442","0.3","95","0.1","0.8",-1329.44780946967
"1443","0.3","95","0.1","1",-1329.81975815285
"1444","0.3","95","0.1","1.2",-1330.01239288568
"1445","0.3","95","0.1","1.4",-1330.10817699736
"1446","0.3","95","0.1","1.6",-1330.15466611834
"1447","0.3","95","0.1","1.8",-1330.17689042762
"1448","0.3","95","0.1","2",-1330.18741124468
"1449","0.3","95","0.2","0.6",-1328.22758428231
"1450","0.3","95","0.2","0.8",-1328.84666989072
"1451","0.3","95","0.2","1",-1329.19273658763
"1452","0.3","95","0.2","1.2",-1329.37203014214
"1453","0.3","95","0.2","1.4",-1329.46121002271
"1454","0.3","95","0.2","1.6",-1329.50451387338
"1455","0.3","95","0.2","1.8",-1329.52521901754
"1456","0.3","95","0.2","2",-1329.53502551424
"1457","0.3","95","0.3","0.6",-1327.74160863563
"1458","0.3","95","0.3","0.8",-1328.3102611523
"1459","0.3","95","0.3","1",-1328.62826722003
"1460","0.3","95","0.3","1.2",-1328.79309781198
"1461","0.3","95","0.3","1.4",-1328.87512293835
"1462","0.3","95","0.3","1.6",-1328.91496759836
"1463","0.3","95","0.3","1.8",-1328.93403137733
"1464","0.3","95","0.3","2",-1328.94306354975
"1465","0.3","95","0.4","0.6",-1327.33530276741
"1466","0.3","95","0.4","0.8",-1327.84884113458
"1467","0.3","95","0.4","1",-1328.13617077211
"1468","0.3","95","0.4","1.2",-1328.28517894858
"1469","0.3","95","0.4","1.4",-1328.35937348351
"1470","0.3","95","0.4","1.6",-1328.39543493246
"1471","0.3","95","0.4","1.8",-1328.41269861649
"1472","0.3","95","0.4","2",-1328.42088266345
"1473","0.3","95","0.5","0.6",-1327.02644268477
"1474","0.3","95","0.5","0.8",-1327.47923451568
"1475","0.3","95","0.5","1",-1327.73273026079
"1476","0.3","95","0.5","1.2",-1327.86427798767
"1477","0.3","95","0.5","1.4",-1327.92982296329
"1478","0.3","95","0.5","1.6",-1327.96170262991
"1479","0.3","95","0.5","1.8",-1327.97697512565
"1480","0.3","95","0.5","2",-1327.98422018223
"1481","0.3","95","0.6","0.6",-1326.84282225651
"1482","0.3","95","0.6","0.8",-1327.22800527081
"1483","0.3","95","0.6","1",-1327.44380793622
"1484","0.3","95","0.6","1.2",-1327.55588282269
"1485","0.3","95","0.6","1.4",-1327.61177078758
"1486","0.3","95","0.6","1.6",-1327.63897607506
"1487","0.3","95","0.6","1.8",-1327.65202019773
"1488","0.3","95","0.6","2",-1327.65821337126
"1489","0.3","95","0.7","0.6",-1326.82830113296
"1490","0.3","95","0.7","0.8",-1327.13736109672
"1491","0.3","95","0.7","1",-1327.31066745724
"1492","0.3","95","0.7","1.2",-1327.40075660304
"1493","0.3","95","0.7","1.4",-1327.44572515728
"1494","0.3","95","0.7","1.6",-1327.46763712877
"1495","0.3","95","0.7","1.8",-1327.47815384053
"1496","0.3","95","0.7","2",-1327.48315213073
"1497","0.3","95","0.8","0.6",-1327.0546613427
"1498","0.3","95","0.8","0.8",-1327.27676991775
"1499","0.3","95","0.8","1",-1327.40145068453
"1500","0.3","95","0.8","1.2",-1327.46633696315
"1501","0.3","95","0.8","1.4",-1327.49876404412
"1502","0.3","95","0.8","1.6",-1327.51458421215
"1503","0.3","95","0.8","1.8",-1327.52218666288
"1504","0.3","95","0.8","2",-1327.525804389
"1505","0.3","95","0.9","0.6",-1327.64713165091
"1506","0.3","95","0.9","0.8",-1327.76803846366
"1507","0.3","95","0.9","1",-1327.83599908312
"1508","0.3","95","0.9","1.2",-1327.87141727314
"1509","0.3","95","0.9","1.4",-1327.8891439075
"1510","0.3","95","0.9","1.6",-1327.89780540847
"1511","0.3","95","0.9","1.8",-1327.90197413563
"1512","0.3","95","0.9","2",-1327.90396102406
"1513","0.3","105","0.1","0.6",-1328.8649301222
"1514","0.3","105","0.1","0.8",-1329.50550344358
"1515","0.3","105","0.1","1",-1329.85567076973
"1516","0.3","105","0.1","1.2",-1330.0332529293
"1517","0.3","105","0.1","1.4",-1330.11975147729
"1518","0.3","105","0.1","1.6",-1330.16088656862
"1519","0.3","105","0.1","1.8",-1330.18015697279
"1520","0.3","105","0.1","2",-1330.18909720023
"1521","0.3","105","0.2","0.6",-1328.30455553631
"1522","0.3","105","0.2","0.8",-1328.9003711049
"1523","0.3","105","0.2","1",-1329.22617254145
"1524","0.3","105","0.2","1.2",-1329.39145952207
"1525","0.3","105","0.2","1.4",-1329.47199712327
"1526","0.3","105","0.2","1.6",-1329.51031172055
"1527","0.3","105","0.2","1.8",-1329.52826748735
"1528","0.3","105","0.2","2",-1329.53660076379
"1529","0.3","105","0.3","0.6",-1327.81235550456
"1530","0.3","105","0.3","0.8",-1328.35963499689
"1531","0.3","105","0.3","1",-1328.65902290857
"1532","0.3","105","0.3","1.2",-1328.81097593871
