"","county","year","shareduserfoi","incidence","previousyear","previnf"
"150","Alpena-Michigan","2012",0.184723971407825,0,0,0.0649394050709064
"151","Alpena-Michigan","2013",0.0977705319228615,1,0,0.184723971407825
"157","Anderson-Tennessee","2007",0,0,0,0.638070296638327
"158","Anderson-Tennessee","2008",0,0,0,0
"159","Anderson-Tennessee","2009",0.0177045895598561,0,0,0
"160","Anderson-Tennessee","2010",0.00285879532050703,0,0,0.0177045895598561
"161","Anderson-Tennessee","2011",0.278216571137889,0,0,0.00285879532050703
"162","Anderson-Tennessee","2012",1.68083999191491,0,0,0.278216571137889
"163","Anderson-Tennessee","2013",1.47178796826976,1,0,1.68083999191491
"169","Annapolis-Nova Scotia","2007",0,0,0,1.24892225920144
"170","Annapolis-Nova Scotia","2008",0,0,0,0
"171","Annapolis-Nova Scotia","2009",0.102556018361875,0,0,0
"172","Annapolis-Nova Scotia","2010",0.165890407792397,0,0,0.102556018361875
"173","Annapolis-Nova Scotia","2011",0.623585122933513,0,0,0.165890407792397
"174","Annapolis-Nova Scotia","2012",0.6659200394704,1,0,0.623585122933513
"181","Antigonish-Nova Scotia","2007",0,0,0,0.840222848015567
"182","Antigonish-Nova Scotia","2008",0,0,0,0
"183","Antigonish-Nova Scotia","2009",0.0901773355383683,0,0,0
"184","Antigonish-Nova Scotia","2010",0.119370662657172,0,0,0.0901773355383683
"185","Antigonish-Nova Scotia","2011",0.283551041736975,0,0,0.119370662657172
"186","Antigonish-Nova Scotia","2012",0.544054534957413,1,0,0.283551041736975
"193","Antoine-Labelle-Qu̩bec","2007",0,0,0,0.312774516083392
"194","Antoine-Labelle-Qu̩bec","2008",0,0,0,0
"195","Antoine-Labelle-Qu̩bec","2009",0.0708204127747258,0,0,0
"196","Antoine-Labelle-Qu̩bec","2010",0.0525544702102225,0,0,0.0708204127747258
"197","Antoine-Labelle-Qu̩bec","2011",0.109549894537373,0,0,0.0525544702102225
"198","Antoine-Labelle-Qu̩bec","2012",0.126873861655097,0,0,0.109549894537373
"199","Antoine-Labelle-Qu̩bec","2013",0.0916403936362483,0,0,0.126873861655097
"200","Antoine-Labelle-Qu̩bec","2014",0.140749518838344,1,0,0.0916403936362483
"205","Armstrong-Pennsylvania","2007",0,0,0,0.0562545297471712
"206","Armstrong-Pennsylvania","2008",0,0,0,0
"207","Armstrong-Pennsylvania","2009",0.118150426178598,0,0,0
"208","Armstrong-Pennsylvania","2010",0.0922855829060504,0,0,0.118150426178598
"209","Armstrong-Pennsylvania","2011",1.32302625827816,1,0,0.0922855829060504
"217","Ashland-Ohio","2007",0,0,0,0.611217640540533
"218","Ashland-Ohio","2008",0,0,0,0
"219","Ashland-Ohio","2009",0.043932087693203,0,0,0
"220","Ashland-Ohio","2010",0.0368875578859904,0,0,0.043932087693203
"221","Ashland-Ohio","2011",0.138197467997356,0,0,0.0368875578859904
"222","Ashland-Ohio","2012",0.669031940753056,1,0,0.138197467997356
"229","Athens-Ohio","2007",0,0,0,0.199834958436946
"230","Athens-Ohio","2008",0,0,0,0
"231","Athens-Ohio","2009",0.0787009160170743,0,0,0
"232","Athens-Ohio","2010",0.0426255592972461,0,0,0.0787009160170743
"233","Athens-Ohio","2011",0.148288414940906,0,0,0.0426255592972461
"234","Athens-Ohio","2012",0.521014357594802,1,0,0.148288414940906
"241","Augusta-Virginia","2007",0,0,0,0.275326852417587
"242","Augusta-Virginia","2008",0,0,0,0
"243","Augusta-Virginia","2009",0.190949205543656,0,0,0
"244","Augusta-Virginia","2010",0.050393653770926,1,0,0.190949205543656
"253","Avery-North Carolina","2007",0,0,0,0.41775424528034
"254","Avery-North Carolina","2008",0,0,0,0
"255","Avery-North Carolina","2009",0.0459979802784448,0,0,0
"256","Avery-North Carolina","2010",0.0134801391616747,1,0,0.0459979802784448
"265","Bandera-Texas","2007",0,0,0,0.476116382384632
"266","Bandera-Texas","2008",0,0,0,0
"267","Bandera-Texas","2009",5.00804587207351e-05,0,0,0
"268","Bandera-Texas","2010",1.21857690806846e-05,0,0,5.00804587207351e-05
"269","Bandera-Texas","2011",0.000120259790700699,0,0,1.21857690806846e-05
"270","Bandera-Texas","2012",0.426111117181311,0,0,0.000120259790700699
"271","Bandera-Texas","2013",0.319854653978831,0,0,0.426111117181311
"272","Bandera-Texas","2014",0.107240372817835,0,0,0.319854653978831
"273","Bandera-Texas","2015",0.000775626163242344,0,0,0.107240372817835
"274","Bandera-Texas","2016",0.00258162342293023,0,0,0.000775626163242344
"275","Bandera-Texas","2017",0.00608971902555906,0,0,0.00258162342293023
"276","Bandera-Texas","2018",0.169414317067205,1,0,0.00608971902555906
"277","Baraga-Michigan","2007",0,0,0,0.169414317067205
"278","Baraga-Michigan","2008",0,0,0,0
"279","Baraga-Michigan","2009",0.00125387704249723,0,0,0
"280","Baraga-Michigan","2010",0.00130937846850449,0,0,0.00125387704249723
"281","Baraga-Michigan","2011",0.00273471004811837,0,0,0.00130937846850449
"282","Baraga-Michigan","2012",0.733306967223104,0,0,0.00273471004811837
"283","Baraga-Michigan","2013",0.0950436761091813,0,0,0.733306967223104
"284","Baraga-Michigan","2014",0.445308114227557,0,0,0.0950436761091813
"285","Baraga-Michigan","2015",0.53273184863893,0,0,0.445308114227557
"286","Baraga-Michigan","2016",1.15240823276922,1,0,0.53273184863893
"289","Barber-Kansas","2007",0,0,0,0.772844039251266
"290","Barber-Kansas","2008",0,0,0,0
"291","Barber-Kansas","2009",0.000170115899645386,0,0,0
"292","Barber-Kansas","2010",9.99704470478194e-05,0,0,0.000170115899645386
"293","Barber-Kansas","2011",0.00132216990040805,0,0,9.99704470478194e-05
"294","Barber-Kansas","2012",0.00268068610060511,0,0,0.00132216990040805
"295","Barber-Kansas","2013",0.00726365759080983,0,0,0.00268068610060511
"296","Barber-Kansas","2014",0.0107698209672884,0,0,0.00726365759080983
"297","Barber-Kansas","2015",0.0093999842456961,0,0,0.0107698209672884
"298","Barber-Kansas","2016",0.0225903361236999,0,0,0.0093999842456961
"299","Barber-Kansas","2017",0.0181962579714568,1,0,0.0225903361236999
"301","Barnstable-Massachusetts","2007",0,0,0,0.0222441576377682
"302","Barnstable-Massachusetts","2008",0,0,0,0
"303","Barnstable-Massachusetts","2009",0.00715054084155873,0,0,0
"304","Barnstable-Massachusetts","2010",0.00567565849495074,0,0,0.00715054084155873
"305","Barnstable-Massachusetts","2011",0.0213078951783797,0,0,0.00567565849495074
"306","Barnstable-Massachusetts","2012",0.018707553104105,1,0,0.0213078951783797
"313","Barren-Kentucky","2007",0,0,0,0.0151212145816216
"314","Barren-Kentucky","2008",0,0,0,0
"315","Barren-Kentucky","2009",0.0125084041840637,0,0,0
"316","Barren-Kentucky","2010",0.00399466573347866,0,0,0.0125084041840637
"317","Barren-Kentucky","2011",0.0880739917913894,0,0,0.00399466573347866
"318","Barren-Kentucky","2012",0.323124619995526,0,0,0.0880739917913894
"319","Barren-Kentucky","2013",0.32133251972969,0,0,0.323124619995526
"320","Barren-Kentucky","2014",0.45777811986105,1,0,0.32133251972969
"325","Barry-Missouri","2007",0,0,0,0.301237733298671
"326","Barry-Missouri","2008",0,0,0,0
"327","Barry-Missouri","2009",0.000644917578282082,0,0,0
"328","Barry-Missouri","2010",0.000427118306209851,0,0,0.000644917578282082
"329","Barry-Missouri","2011",0.0117422788860908,0,0,0.000427118306209851
"330","Barry-Missouri","2012",0.00501957477105904,0,0,0.0117422788860908
"331","Barry-Missouri","2013",0.00930771219181926,0,0,0.00501957477105904
"332","Barry-Missouri","2014",0.0137846880170931,0,0,0.00930771219181926
"333","Barry-Missouri","2015",0.0231608112474344,1,0,0.0137846880170931
"337","Bartow-Georgia","2007",0,0,0,0.0552652604924221
"338","Bartow-Georgia","2008",0,0,0,0
"339","Bartow-Georgia","2009",0.0249711436442147,0,0,0
"340","Bartow-Georgia","2010",0.00107543575862948,0,0,0.0249711436442147
"341","Bartow-Georgia","2011",0.151805357262788,0,0,0.00107543575862948
"342","Bartow-Georgia","2012",0.193669260771038,0,0,0.151805357262788
"343","Bartow-Georgia","2013",0.362985546696413,1,0,0.193669260771038
"349","Bath-Virginia","2007",0,0,0,0.284239654989462
"350","Bath-Virginia","2008",0,1,0,0
"361","Baxter-Arkansas","2007",0,0,0,0.598096597469501
"362","Baxter-Arkansas","2008",0,0,0,0
"363","Baxter-Arkansas","2009",0.0018375265469084,0,0,0
"364","Baxter-Arkansas","2010",0.00111456164337361,0,0,0.0018375265469084
"365","Baxter-Arkansas","2011",0.0131455782868766,1,0,0.00111456164337361
"373","Beaver-Pennsylvania","2007",0,0,0,0.0617396200354406
"374","Beaver-Pennsylvania","2008",0,0,0,0
"375","Beaver-Pennsylvania","2009",0.0804229168912448,0,0,0
"376","Beaver-Pennsylvania","2010",0.0655359981036474,0,0,0.0804229168912448
"377","Beaver-Pennsylvania","2011",0.459771813594943,1,0,0.0655359981036474
"385","Becker-Minnesota","2007",0,0,0,0.289934116827056
"386","Becker-Minnesota","2008",0,0,0,0
"387","Becker-Minnesota","2009",0.000729746893293409,0,0,0
"388","Becker-Minnesota","2010",0.000696047646330366,0,0,0.000729746893293409
"389","Becker-Minnesota","2011",0.00273223235320078,0,0,0.000696047646330366
"390","Becker-Minnesota","2012",0.149120889639612,0,0,0.00273223235320078
"391","Becker-Minnesota","2013",0.0395824309186209,0,0,0.149120889639612
"392","Becker-Minnesota","2014",0.143883294624999,0,0,0.0395824309186209
"393","Becker-Minnesota","2015",0.190454866350499,1,0,0.143883294624999
"397","Bedford-Pennsylvania","2007",0,0,0,0.139300341296583
"398","Bedford-Pennsylvania","2008",0,0,0,0
"399","Bedford-Pennsylvania","2009",0.130437860374339,0,0,0
"400","Bedford-Pennsylvania","2010",0.0552157054471085,0,0,0.130437860374339
"401","Bedford-Pennsylvania","2011",0.283445246424602,1,0,0.0552157054471085
"409","Bedford-Tennessee","2007",0,0,0,0.203632384519572
"410","Bedford-Tennessee","2008",0,0,0,0
"411","Bedford-Tennessee","2009",0.0369692992216523,0,0,0
"412","Bedford-Tennessee","2010",0.00194386289244446,0,0,0.0369692992216523
"413","Bedford-Tennessee","2011",0.0876791303054024,0,0,0.00194386289244446
"414","Bedford-Tennessee","2012",0.149778952547163,0,0,0.0876791303054024
"415","Bedford-Tennessee","2013",0.38664268066206,1,0,0.149778952547163
"421","Bell-Kentucky","2007",0,0,0,0.373043277201035
