"","year","county1","county2","num.shared","incidence","date","inf.counties"
"84","2013-01-01","Hocking","Fairfield",1,0,2013-01-01,474
"85","2013-01-01","Hocking","Wise",1,0,2013-01-01,474
"86","2013-01-01","Hocking","Kings County",1,0,2013-01-01,474
"87","2013-01-01","Hocking","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"88","2013-01-01","Hocking","Halton Regional Municipality",1,0,2013-01-01,474
"89","2013-01-01","Hocking","Oxford",1,0,2013-01-01,474
"90","2013-01-01","Hocking","Saint John County",1,0,2013-01-01,474
"91","2013-01-01","Hocking","Roanoke",1,0,2013-01-01,474
"92","2013-01-01","Hocking","Crawford",1,0,2013-01-01,474
"93","2013-01-01","Hocking","Monroe",1,0,2013-01-01,474
"94","2013-01-01","Hocking","Montgomery",1,0,2013-01-01,474
"95","2013-01-01","Hocking","Smyth",1,0,2013-01-01,474
"96","2013-01-01","Hocking","Luzerne",1,0,2013-01-01,474
"97","2013-01-01","Hocking","Centre",1,0,2013-01-01,474
"98","2013-01-01","Hocking","Putnam",1,0,2013-01-01,474
"99","2013-01-01","Hocking","Giles",1,0,2013-01-01,474
"100","2013-01-01","Hocking","Hartford",1,0,2013-01-01,474
"101","2013-01-01","Hocking","Hamilton",1,0,2013-01-01,474
"102","2013-01-01","Hocking","Morris",1,0,2013-01-01,474
"103","2013-01-01","Hocking","Orange",1,0,2013-01-01,474
"104","2013-01-01","Hocking","Blair",1,0,2013-01-01,474
"105","2013-01-01","Hocking","Les Collines-De-L'Outaouais",1,0,2013-01-01,474
"106","2013-01-01","Hocking","Greenbrier",1,0,2013-01-01,474
"107","2013-01-01","Hocking","Sullivan",1,0,2013-01-01,474
"108","2013-01-01","Hocking","Hastings County",1,0,2013-01-01,474
"109","2013-01-01","Hocking","Huntingdon",1,0,2013-01-01,474
"110","2013-01-01","Hocking","Hancock",1,0,2013-01-01,474
"111","2013-01-01","Hocking","Clearfield",1,0,2013-01-01,474
"112","2013-01-01","Hocking","Colchester County",1,0,2013-01-01,474
"113","2013-01-01","Hocking","Cuyahoga",1,0,2013-01-01,474
"114","2013-01-01","Hocking","Westmorland County",1,0,2013-01-01,474
"115","2013-01-01","Hocking","Franklin",1,0,2013-01-01,474
"116","2013-01-01","Hocking","Ulster",1,0,2013-01-01,474
"117","2013-01-01","Hocking","Bennington",1,0,2013-01-01,474
"118","2013-01-01","Hocking","Rowan",1,0,2013-01-01,474
"119","2013-01-01","Hardin","Ontonagon",1,1,2013-01-01,474
"120","2013-01-01","Hardin","Keweenaw",7,1,2013-01-01,474
"121","2013-01-01","Hardin","Maury",7,1,2013-01-01,474
"122","2013-01-01","Hardin","York County",1,1,2013-01-01,474
"123","2013-01-01","Hardin","Hardin",1,0,2013-01-01,474
"124","2013-01-01","Hardin","Hocking",5,1,2013-01-01,474
"125","2013-01-01","Hardin","Marion",4,1,2013-01-01,474
"126","2013-01-01","Hardin","Houghton",1,0,2013-01-01,474
"127","2013-01-01","Hardin","La Côte-De-Gaspé",1,0,2013-01-01,474
"128","2013-01-01","Hardin","Phelps",1,0,2013-01-01,474
"129","2013-01-01","Hardin","St. Louis County",1,0,2013-01-01,474
"130","2013-01-01","Hardin","Taney",1,0,2013-01-01,474
"131","2013-01-01","Hardin","Newton",1,0,2013-01-01,474
"132","2013-01-01","Hardin","Pulaski",1,0,2013-01-01,474
"133","2013-01-01","Hardin","Lewis",1,0,2013-01-01,474
"134","2013-01-01","Hardin","Warren",1,0,2013-01-01,474
"135","2013-01-01","Hardin","Edmonson",1,0,2013-01-01,474
"136","2013-01-01","Hardin","Lee",1,0,2013-01-01,474
"137","2013-01-01","Hardin","Rockcastle",1,0,2013-01-01,474
"138","2013-01-01","Hardin","Carter",1,0,2013-01-01,474
"139","2013-01-01","Hardin","Letcher",1,0,2013-01-01,474
