County	State province	Country
Hardin	Iowa	USA
Harrison	Iowa	USA
Henry	Iowa	USA
Howard	Iowa	USA
Humboldt	Iowa	USA
Ida	Iowa	USA
Iowa	Iowa	USA
Jackson	Iowa	USA
Jasper	Iowa	USA
Jefferson	Iowa	USA
Johnson	Iowa	USA
Jones	Iowa	USA
Keokuk	Iowa	USA
Kossuth	Iowa	USA
Lee	Iowa	USA
Linn	Iowa	USA
Louisa	Iowa	USA
Lucas	Iowa	USA
Lyon	Iowa	USA
Madison	Iowa	USA
Mahaska	Iowa	USA
Marion	Iowa	USA
Marshall	Iowa	USA
Mills	Iowa	USA
Mitchell	Iowa	USA
Monona	Iowa	USA
Monroe	Iowa	USA
Montgomery	Iowa	USA
Muscatine	Iowa	USA
O'Brien	Iowa	USA
Osceola	Iowa	USA
Page	Iowa	USA
Palo Alto	Iowa	USA
Plymouth	Iowa	USA
Pocahontas	Iowa	USA
Polk	Iowa	USA
Pottawattamie	Iowa	USA
Poweshiek	Iowa	USA
Ringgold	Iowa	USA
Sac	Iowa	USA
Scott	Iowa	USA
Shelby	Iowa	USA
Sioux	Iowa	USA
Story	Iowa	USA
Tama	Iowa	USA
Taylor	Iowa	USA
Union	Iowa	USA
Van Buren	Iowa	USA
Wapello	Iowa	USA
Warren	Iowa	USA
Washington	Iowa	USA
Wayne	Iowa	USA
Webster	Iowa	USA
Winnebago	Iowa	USA
Winneshiek	Iowa	USA
Woodbury	Iowa	USA
Worth	Iowa	USA
Wright	Iowa	USA
Adair	Kentucky	USA
Allen	Kentucky	USA
Anderson	Kentucky	USA
Ballard	Kentucky	USA
Barren	Kentucky	USA
Bath	Kentucky	USA
Bell	Kentucky	USA
Boone	Kentucky	USA
Bourbon	Kentucky	USA
Boyd	Kentucky	USA
Boyle	Kentucky	USA
Bracken	Kentucky	USA
Breathitt	Kentucky	USA
Breckinridge	Kentucky	USA
Bullitt	Kentucky	USA
Butler	Kentucky	USA
Caldwell	Kentucky	USA
Calloway	Kentucky	USA
Campbell	Kentucky	USA
Carlisle	Kentucky	USA
Carroll	Kentucky	USA
Carter	Kentucky	USA
Casey	Kentucky	USA
Christian	Kentucky	USA
Clark	Kentucky	USA
Clay	Kentucky	USA
Clinton	Kentucky	USA
Crittenden	Kentucky	USA
Cumberland	Kentucky	USA
Daviess	Kentucky	USA
Edmonson	Kentucky	USA
Elliott	Kentucky	USA
Estill	Kentucky	USA
Fayette	Kentucky	USA
Fleming	Kentucky	USA
Floyd	Kentucky	USA
Franklin	Kentucky	USA
Fulton	Kentucky	USA
Gallatin	Kentucky	USA
Garrard	Kentucky	USA
Grant	Kentucky	USA
Graves	Kentucky	USA
Grayson	Kentucky	USA
Green	Kentucky	USA
Greenup	Kentucky	USA
Hancock	Kentucky	USA
Hardin	Kentucky	USA
Harlan	Kentucky	USA
Harrison	Kentucky	USA
Hart	Kentucky	USA
Henderson	Kentucky	USA
Henry	Kentucky	USA
Hickman	Kentucky	USA
Hopkins	Kentucky	USA
Jackson	Kentucky	USA
Jefferson	Kentucky	USA
Jessamine	Kentucky	USA
Johnson	Kentucky	USA
Kenton	Kentucky	USA
Knott	Kentucky	USA
Knox	Kentucky	USA
LaRue	Kentucky	USA
Laurel	Kentucky	USA
Lawrence	Kentucky	USA
Lee	Kentucky	USA
Leslie	Kentucky	USA
Letcher	Kentucky	USA
Lewis	Kentucky	USA
Lincoln	Kentucky	USA
Livingston	Kentucky	USA
Logan	Kentucky	USA
Lyon	Kentucky	USA
McCracken	Kentucky	USA
McCreary	Kentucky	USA
McLean	Kentucky	USA
Madison	Kentucky	USA
Magoffin	Kentucky	USA
Marion	Kentucky	USA
Marshall	Kentucky	USA
Martin	Kentucky	USA
Mason	Kentucky	USA
Meade	Kentucky	USA
Menifee	Kentucky	USA
Mercer	Kentucky	USA
Metcalfe	Kentucky	USA
Monroe	Kentucky	USA
Montgomery	Kentucky	USA
Morgan	Kentucky	USA
Muhlenberg	Kentucky	USA
Nelson	Kentucky	USA
Nicholas	Kentucky	USA
Ohio	Kentucky	USA
Oldham	Kentucky	USA
Owen	Kentucky	USA
Owsley	Kentucky	USA
Pendleton	Kentucky	USA
Perry	Kentucky	USA
Pike	Kentucky	USA
Powell	Kentucky	USA
Pulaski	Kentucky	USA
Robertson	Kentucky	USA
Rockcastle	Kentucky	USA
Rowan	Kentucky	USA
Russell	Kentucky	USA
Scott	Kentucky	USA
Shelby	Kentucky	USA
Simpson	Kentucky	USA
Spencer	Kentucky	USA
Taylor	Kentucky	USA
Todd	Kentucky	USA
Trigg	Kentucky	USA
Trimble	Kentucky	USA
Union	Kentucky	USA
Warren	Kentucky	USA
Washington	Kentucky	USA
Wayne	Kentucky	USA
Webster	Kentucky	USA
Whitley	Kentucky	USA
Wolfe	Kentucky	USA
Woodford	Kentucky	USA
Androscoggin	Maine	USA
Aroostook	Maine	USA
Cumberland	Maine	USA
Franklin	Maine	USA
Hancock	Maine	USA
Kennebec	Maine	USA
Knox	Maine	USA
Lincoln	Maine	USA
Oxford	Maine	USA
Penobscot	Maine	USA
Piscataquis	Maine	USA
Sagadahoc	Maine	USA
Somerset	Maine	USA
Waldo	Maine	USA
Washington	Maine	USA
York	Maine	USA
Allegany	Maryland	USA
Anne Arundel	Maryland	USA
Baltimore	Maryland	USA
Calvert	Maryland	USA
Caroline	Maryland	USA
Carroll	Maryland	USA
Cecil	Maryland	USA
Charles	Maryland	USA
Dorchester	Maryland	USA
Frederick	Maryland	USA
Garrett	Maryland	USA
Harford	Maryland	USA
Howard	Maryland	USA
Kent	Maryland	USA
Montgomery	Maryland	USA
Prince George's	Maryland	USA
Queen Anne's	Maryland	USA
St. Mary's	Maryland	USA
Somerset	Maryland	USA
Talbot	Maryland	USA
Washington	Maryland	USA
Wicomico	Maryland	USA
Worcester	Maryland	USA
Baltimore	Maryland	USA
Barnstable	Massachusetts	USA
Berkshire	Massachusetts	USA
Bristol	Massachusetts	USA
Dukes	Massachusetts	USA
Essex	Massachusetts	USA
Franklin	Massachusetts	USA
Hampden	Massachusetts	USA
Hampshire	Massachusetts	USA
Middlesex	Massachusetts	USA
Town and of Nantucket	Massachusetts	USA
Norfolk	Massachusetts	USA
Plymouth	Massachusetts	USA
Suffolk	Massachusetts	USA
Worcester	Massachusetts	USA
Alcona	Michigan	USA
Alger	Michigan	USA
Allegan	Michigan	USA
Alpena	Michigan	USA
Antrim	Michigan	USA
Arenac	Michigan	USA
Baraga	Michigan	USA
Barry	Michigan	USA
Bay	Michigan	USA
Benzie	Michigan	USA
Berrien	Michigan	USA
Branch	Michigan	USA
Calhoun	Michigan	USA
Cass	Michigan	USA
Charlevoix	Michigan	USA
Cheboygan	Michigan	USA
Chippewa	Michigan	USA
Clare	Michigan	USA
Clinton	Michigan	USA
Crawford	Michigan	USA
Delta	Michigan	USA
Dickinson	Michigan	USA
Eaton	Michigan	USA
Emmet	Michigan	USA
Genesee	Michigan	USA
Gladwin	Michigan	USA
Gogebic	Michigan	USA
Grand Traverse	Michigan	USA
Gratiot	Michigan	USA
Hillsdale	Michigan	USA
Houghton	Michigan	USA
Huron	Michigan	USA
Ingham	Michigan	USA
Ionia	Michigan	USA
Iosco	Michigan	USA
Iron	Michigan	USA
Isabella	Michigan	USA
Jackson	Michigan	USA
Kalamazoo	Michigan	USA
Kalkaska	Michigan	USA
Kent	Michigan	USA
Keweenaw	Michigan	USA
Lake	Michigan	USA
Lapeer	Michigan	USA
Leelanau	Michigan	USA
Lenawee	Michigan	USA
Livingston	Michigan	USA
Luce	Michigan	USA
Mackinac	Michigan	USA
Macomb	Michigan	USA
Manistee	Michigan	USA
Marquette	Michigan	USA
Mason	Michigan	USA
Mecosta	Michigan	USA
Menominee	Michigan	USA
Midland	Michigan	USA
Missaukee	Michigan	USA
Monroe	Michigan	USA
Montcalm	Michigan	USA
Montmorency	Michigan	USA
Muskegon	Michigan	USA
Newaygo	Michigan	USA
Oakland	Michigan	USA
Oceana	Michigan	USA
Ogemaw	Michigan	USA
Ontonagon	Michigan	USA
Osceola	Michigan	USA
Oscoda	Michigan	USA
Otsego	Michigan	USA
Ottawa	Michigan	USA
Presque Isle	Michigan	USA
Roscommon	Michigan	USA
Saginaw	Michigan	USA
St. Clair	Michigan	USA
St. Joseph	Michigan	USA
Sanilac	Michigan	USA
Schoolcraft	Michigan	USA
Shiawassee	Michigan	USA
Tuscola	Michigan	USA
Van Buren	Michigan	USA
Washtenaw	Michigan	USA
Wayne	Michigan	USA
Wexford	Michigan	USA
Belknap	New Hampshire	USA
Carroll	New Hampshire	USA
Cheshire	New Hampshire	USA
Coös	New Hampshire	USA
Grafton	New Hampshire	USA
Hillsborough	New Hampshire	USA
Merrimack	New Hampshire	USA
Rockingham	New Hampshire	USA
Strafford	New Hampshire	USA
Sullivan	New Hampshire	USA
Atlantic	New Jersey	USA
Bergen	New Jersey	USA
Burlington	New Jersey	USA
Camden	New Jersey	USA
Cape May	New Jersey	USA
Cumberland	New Jersey	USA
Essex	New Jersey	USA
Gloucester	New Jersey	USA
Hudson	New Jersey	USA
Hunterdon	New Jersey	USA
Mercer	New Jersey	USA
Middlesex	New Jersey	USA
Monmouth	New Jersey	USA
Morris	New Jersey	USA
Ocean	New Jersey	USA
Passaic	New Jersey	USA
Salem	New Jersey	USA
Somerset	New Jersey	USA
Sussex	New Jersey	USA
Union	New Jersey	USA
Warren	New Jersey	USA
Albany	New York	USA
Allegany	New York	USA
Bronx	New York	USA
Broome	New York	USA
Cattaraugus	New York	USA
Cayuga	New York	USA
Chautauqua	New York	USA
Chemung	New York	USA
Chenango	New York	USA
Clinton	New York	USA
Columbia	New York	USA
Cortland	New York	USA
Delaware	New York	USA
Dutchess	New York	USA
Erie	New York	USA
Essex	New York	USA
Franklin	New York	USA
Fulton	New York	USA
Genesee	New York	USA
Greene	New York	USA
Hamilton	New York	USA
Herkimer	New York	USA
Jefferson	New York	USA
Kings	New York	USA
Lewis	New York	USA
Livingston	New York	USA
Madison	New York	USA
Monroe	New York	USA
Montgomery	New York	USA
Nassau	New York	USA
New York	New York	USA
Niagara	New York	USA
Oneida	New York	USA
Onondaga	New York	USA
Ontario	New York	USA
Orange	New York	USA
Orleans	New York	USA
Oswego	New York	USA
Otsego	New York	USA
Putnam	New York	USA
Queens	New York	USA
Rensselaer	New York	USA
Richmond	New York	USA
Rockland	New York	USA
St. Lawrence	New York	USA
